id,Name,Released,Members,Race,Location,Leagueregion,Gender,Examine,NPC ID,Link,chathead_url,body_url,Options,lat,lon,Quest,Removal,Shop,Also called,Combat level,Respawn time,Size
10,Aberab,6 December 2004 ( Update ),Yes,Monkey,Ape Atoll,Kandarin ✓,Male,A huge brutish gorilla. He looks like a jail guard.,5248,MOID,https://oldschool.runescape.wiki/images/Aberab_chathead.png,https://oldschool.runescape.wiki/images/Aberab.png,Talk-to,2799,2769,Monkey Madness I,,,,,,
11,Abidor Crank,28 March 2006 ( Update ),Yes,Human,Temple Trekking,Morytania ✓,Male,The good samaritan.,1568,MOID,https://oldschool.runescape.wiki/images/Abidor_Crank_chathead.png,https://oldschool.runescape.wiki/images/Abidor_Crank.png,Talk-to,,,,,,,,,
12,Abigaila,7 June 2018 ( Update ),Yes,Human,Lumbridge General Store,Misthalin ✓,Female,She's not from around here originally.,8368,MOID,https://oldschool.runescape.wiki/images/Abigaila_chathead.png,https://oldschool.runescape.wiki/images/Abigaila.png,"Talk-to, Scry",3249,3210,,,,,,,
13,Abigale,20 October 2016 ( Update ),No,Human,Lumbridge Swamp,Misthalin ✓,Female,She looks like she could weather a storm.,7623,MOID,https://oldschool.runescape.wiki/images/Abigale_chathead.png,https://oldschool.runescape.wiki/images/Abigale.png,Talk-to,3155,3236,Misthalin Mystery,,,,,,
14,Abyssal axon,26 July 2023 ( Update ),Yes,,The Scar,N/A,,Has an aura around it that seems to be safe.,12375,MOID,https://oldschool.runescape.wiki/images/thumb/Golem_%28Desert_Treasure_II%29_chathead.png/25px-Golem_%28Desert_Treasure_II%29_chathead.png,https://oldschool.runescape.wiki/images/Abyssal_axon.png,"Hit, Reset",6420,1743,Desert Treasure II - The Fallen Empire,,,,,,
15,Abyssal guardian,23 March 2022 ( Update ),Yes,Abyssal creature,Temple of the Eye,Desert ✓ Misthalin ✓,,"You can't tell if it's angry, sad, or both.","11405,11453",MOID,https://oldschool.runescape.wiki/images/thumb/Wizard_Persten_chathead.png/24px-Wizard_Persten_chathead.png,https://oldschool.runescape.wiki/images/Abyssal_guardian_%28Guardians_of_the_Rift%29.png,,,,Temple of the Eye,,,,,,
16,Abyssal leech,23 March 2022 ( Update ),Yes,Abyssal creature,Temple of the Eye,Desert ✓ Misthalin ✓,,"Warped by life under water, this blood-drinking denizen of the Abyss is looking vicious.",11407,MOID,https://oldschool.runescape.wiki/images/thumb/Wizard_Persten_chathead.png/24px-Wizard_Persten_chathead.png,https://oldschool.runescape.wiki/images/Abyssal_leech_%28Guardians_of_the_Rift%29.png,,,,Temple of the Eye,,,,,,
17,Abyssal orphan,1 October 2015 ( Update ),Yes,Abyssal demon,Font of Consumption,General ✓,,Born in the death throes of an Abyssal Sire.,"5883,5884",MOID,https://oldschool.runescape.wiki/images/Abyssal_orphan_chathead.png,https://oldschool.runescape.wiki/images/Abyssal_orphan_%28follower%29.png,"Talk-to, Pick-up",,,,,,,,,
18,Abyssal pathfinder,26 July 2023 ( Update ),Yes,,The Scar,Desert ✓ Misthalin ✓,,Has an aura around it that seems to be safe.,12220,MOID,https://oldschool.runescape.wiki/images/thumb/Lil%27viathan_chathead.png/33px-Lil%27viathan_chathead.png,https://oldschool.runescape.wiki/images/Abyssal_pathfinder.png,,6372,2081,,,,,,,
19,Abyssal protector,23 March 2022 ( Update ),Yes,Abyssal creature,Rewards Guardian,Desert ✓,,Your own personal abyssal horror.,"11402,11429",MOID,https://oldschool.runescape.wiki/images/Abyssal_protector_chathead.png,https://oldschool.runescape.wiki/images/Abyssal_protector_%28follower%29.png,"Talk-to, Pick-up",,,,,,,,,
20,Abyssal walker,23 March 2022 ( Update ),Yes,Abyssal creature,Temple of the Eye,Desert ✓ Misthalin ✓,,It certainly did not skip leg day.,"11406,11454",MOID,https://oldschool.runescape.wiki/images/thumb/Wizard_Persten_chathead.png/24px-Wizard_Persten_chathead.png,https://oldschool.runescape.wiki/images/Abyssal_walker_%28Guardians_of_the_Rift%29.png,,,,Temple of the Eye,,,,,,
21,Academic,20 March 2024 ( Update ),Yes,Human,Grand Museum,Varlamore ✓,Female,A highly educated individual.,13298,MOID,https://oldschool.runescape.wiki/images/Academic_%281%29_chathead.png,https://oldschool.runescape.wiki/images/Academic_%281%29.png,Talk-to,,,,,,,,,
22,Acatzin,23 July 2025 ( Update ),Yes,Human,"Tal Teklan , Ground floor of the King's Inn.",Varlamore ✓,Male,A man on a mission.,14505,MOID,https://oldschool.runescape.wiki/images/Acatzin_chathead.png,https://oldschool.runescape.wiki/images/Acatzin.png,Talk-to,3118,1226,,,,,,,
23,Account Guide,18 October 2018 ( Update ),No,Human,Tutorial Island,Misthalin ✓,Male,A professional when it comes to accounts.,3310,MOID,https://oldschool.runescape.wiki/images/Account_Guide_chathead.png,https://oldschool.runescape.wiki/images/Account_Guide.png,Talk-to,3125,3128,,,,,,,
24,Account security tutor,14 May 2020 ( Update ),No,Human,Lumbridge,Misthalin ✓,Male,"A top notch security guard, here to talk to you about account security.",hist9504,MOID,https://oldschool.runescape.wiki/images/Account_security_tutor_chathead.png,https://oldschool.runescape.wiki/images/Account_security_tutor.png,Talk-to,3199,3240,,1 November 2023 ( Update ),,,,,
25,Achietties,27 February 2002 ( Update ),Yes,Human,Just outside the Heroes' Guild,Asgarnia ✓,Female,Distinctly heroic.,4923,MOID,https://oldschool.runescape.wiki/images/Achietties_chathead.png,https://oldschool.runescape.wiki/images/Achietties.png,Talk-to,3511,2902,Heroes' Quest,,,,,,
26,Achilka,23 July 2025 ( Update ),Yes,Human,Tlati Rainforest,Varlamore ✓,,One of Gielinor's many citizens.,14727,MOID,https://oldschool.runescape.wiki/images/Achilka_chathead.png,https://oldschool.runescape.wiki/images/Achilka.png,"Talk-to, Tal Teklan, Gloomthorn Trail",3043,1374,,,,,,,
27,Achtryn,10 July 2024 ( Update ),Yes,Demon,Canifis,Morytania ✓,Male,He looks dangerous!,13621,MOID,https://oldschool.runescape.wiki/images/Achtryn_chathead.png,https://oldschool.runescape.wiki/images/Achtryn.png,"Talk-to, Assignment, Trade, Rewards",3509,3511,,,"Slayer Equipment , Slayer Rewards",,,,
28,Egg,28 August 2024 ( Update ),Yes,Araxyte,Morytania Spider Cave,Morytania ✓,,Egg?,13674,MOID,https://oldschool.runescape.wiki/images/thumb/Turael_chathead.png/40px-Turael_chathead.png,https://oldschool.runescape.wiki/images/Egg_%28Acidic_Araxyte%29.png,Attack,,,,,,,,,
29,Acorn,27 February 2020 ( Update ),Yes,Twisted Bow,Farming Guild,N/A,,For Mod Acorn,9415,MOID,,https://oldschool.runescape.wiki/images/Acorn_%28NPC%29.png,None,,,,,,,,,
30,Adala,25 September 2024 ( Update ),Yes,Human,Villa Lucens,Varlamore ✓,Female,A helpful sort of person.,13822,MOID,https://oldschool.runescape.wiki/images/Adala_chathead.png,https://oldschool.runescape.wiki/images/Adala.png,Talk-to,,,Death on the Isle,,,,,,
31,Adamantite ore,23 August 2005 ( Update ),Yes,,Blast Furnace,Fremennik ✓,,Some ore going into the furnace.,2928,MOID,https://oldschool.runescape.wiki/images/thumb/Dumpy_chathead.png/28px-Dumpy_chathead.png,https://oldschool.runescape.wiki/images/Adamantite_ore_%28Blast_Furnace%29.png,,4966,1944,,,,,,,
32,Adrinus,23 July 2025 ( Update ),Yes,Human,Auburn Valley,Varlamore ✓,,A solemn looking man.,14688,MOID,https://oldschool.runescape.wiki/images/Adrinus_chathead.png,https://oldschool.runescape.wiki/images/Adrinus.png,Talk-to,3344,1484,,,,,,,
33,Adrius,25 September 2024 ( Update ),Yes,Human,Tower of Ascension,Varlamore ✓,Male,A newly-initiated member of the Twilight Emissaries.,13782,MOID,https://oldschool.runescape.wiki/images/Adrius_chathead.png,https://oldschool.runescape.wiki/images/Adrius.png,"Talk-to, Choose",,,The Heart of Darkness,,,,,,
34,Adventurer,23 October 2006 ( Update ),Yes,Human,Troll kitchen,N/A,Male,"He's in a pretty nasty spot, in a pretty nasty pot. With some cabbage.",753,MOID,https://oldschool.runescape.wiki/images/Adventurer_chathead.png,https://oldschool.runescape.wiki/images/Adventurer.png,None,,,My Arm's Big Adventure,,,,,,
35,Adventurer (easy),13 March 2007 ( Update ),Yes,Human,Paterdomus,Morytania ✓,Male,An extensively experienced fighter.,1577,MOID,https://oldschool.runescape.wiki/images/Adventurer_%28easy%29_chathead.png,https://oldschool.runescape.wiki/images/Adventurer_%28easy%29.png,"Talk-to, Escort, Supply",3487,3435,,,,,,,
36,Adventurer Ada,19 November 2025 ( Update ),Yes,Human,The Pandemonium,N/A,Female,An eager adventurer with a talent for problem-solving.,15262,MOID,https://oldschool.runescape.wiki/images/Adventurer_Ada_chathead.png,https://oldschool.runescape.wiki/images/Adventurer_Ada.png,Talk-to,2970,3048,,,,,,,
37,Adventurer Jon,8 August 2019 ( Update ),No,Human,Lumbridge,N/A,Male,A seasoned adventurer taking a short break on his journey.,9244,MOID,https://oldschool.runescape.wiki/images/Adventurer_Jon_chathead.png,https://oldschool.runescape.wiki/images/Adventurer_Jon.png,"Talk-to, Claim",3234,3232,,,,,,,
38,Advisor,13 September 2023 ( Update ),Yes,Gnome,Cutscene,Kandarin ✓,Male,Bolrie's advisor. Bolrie's advisor?,12474,MOID,https://oldschool.runescape.wiki/images/Advisor_chathead.png,https://oldschool.runescape.wiki/images/Advisor.png,None,,,The Path of Glouphrie,,,,,,
39,Advisor Ghrim,29 November 2004 ( Update ),Yes,Human,Miscellania castle,Fremennik ✓,Male,He probably hasn't smiled since the Third Age.,5447,MOID,https://oldschool.runescape.wiki/images/Advisor_Ghrim_chathead.png,https://oldschool.runescape.wiki/images/Advisor_Ghrim.png,Talk-to,3857,2500,"Throne of Miscellania , Royal Trouble",,,,,,
40,Aemad,30 April 2002 ( Update ),Yes,Human,East Ardougne,Kandarin ✓,Male,He runs the adventurers' shop.,8682,MOID,https://oldschool.runescape.wiki/images/Aemad_chathead.png,https://oldschool.runescape.wiki/images/Aemad.png,"Talk-to, Trade",3295,2614,,,Aemad's Adventuring Supplies.,,,,
41,Aemilia,23 July 2025 ( Update ),Yes,Human,Auburnvale,Varlamore ✓,Female,A local mother.,14213,MOID,https://oldschool.runescape.wiki/images/Aemilia_chathead.png,https://oldschool.runescape.wiki/images/Aemilia.png,Talk-to,3359,1381,,,,,,,
42,Aeonisig Raispher,4 September 2006 ( Update ),No,Human,Varrock Palace,Misthalin ✓,Male,Roald's advisor - he seems to be a follower of Saradomin.,3774,MOID,https://oldschool.runescape.wiki/images/Aeonisig_Raispher_chathead.png,https://oldschool.runescape.wiki/images/Aeonisig_Raispher.png,Talk-to,3473,3223,Darkness of Hallowvale,,,,,,
43,Afrah,25 March 2004 ( Update ),No,Human,Emir's Arena,Desert ✓,Female,A citizen of Al Kharid.,3350,MOID,https://oldschool.runescape.wiki/images/Afrah_chathead.png,https://oldschool.runescape.wiki/images/Afrah.png,Talk-to,3207,3356,,,,,,,
44,Aga,5 January 2005 ( Update ),Yes,Troll,Troll Stronghold,Asgarnia ✓,Female,A beautiful troll.,641,MOID,https://oldschool.runescape.wiki/images/Aga_chathead.png,https://oldschool.runescape.wiki/images/Aga.png,Talk-to,10132,2892,Troll Romance,,,,,,
45,Agelus,20 March 2024 ( Update ),Yes,,Ortus Farm,Varlamore ✓,,Has everything you need to get your hands dirty.,13339,MOID,https://oldschool.runescape.wiki/images/Agelus_chathead.png,https://oldschool.runescape.wiki/images/Agelus.png,Talk-to,3103,1594,,,Agelus' Farm Shop,,,,
46,Aggie,28 February 2001 ( Update ),No,Human,Draynor Village,Misthalin ✓,Female,A witch.,120,MOID,https://oldschool.runescape.wiki/images/Aggie_chathead.png,https://oldschool.runescape.wiki/images/Aggie.png,Talk-to,3261,3086,• Prince Ali Rescue • One Small Favour • Land of the Goblins,,Dyes,,,,
47,Aggie,10 December 2025 ( Update ),No,Human,Blue Moon Inn,N/A,,A Christmassy witch.,hist15550,MOID,https://oldschool.runescape.wiki/images/Aggie_%282025_Christmas_event%29_chathead.png,https://oldschool.runescape.wiki/images/Aggie_%282025_Christmas_event%29.png,Talk-to,,,,7 January 2026 ( Update ),,,,,
48,Agility Boss,31 January 2005 ( Update ),Yes,Werewolf,"Werewolf Agility Course , near Canifis",Morytania ✓,Male,He's in charge of the Agility Course.,5924,MOID,https://oldschool.runescape.wiki/images/Agility_Boss_chathead.png,https://oldschool.runescape.wiki/images/Agility_Boss.png,Talk-To,9872,3540,,,,,,,
49,Agility Instructor,29 January 2007 ( Update ),Yes,Penguin,Iceberg,Fremennik ✓,Male,Instructs agility.,847,MOID,https://oldschool.runescape.wiki/images/Agility_Instructor_chathead.png,https://oldschool.runescape.wiki/images/Agility_Instructor.png,Talk-to,4040,2654,Cold War,,,,,,
50,Agility Trainer,31 January 2005 ( Update ),Yes,Werewolf,"Werewolf Agility Course , near Canifis",Morytania ✓,Male,Have you brought him the stick yet?,5927,MOID,https://oldschool.runescape.wiki/images/Agility_Trainer_chathead.png,https://oldschool.runescape.wiki/images/Agility_Trainer.png,Give-Stick,9867,3530,,,,,,,
51,Agitated bees,1 November 2023 ( Update ),Yes,,Player-owned house,N/A,,These bees don't look very happy.,9504,MOID,https://oldschool.runescape.wiki/images/thumb/Bee_keeper_%28Forestry%29_chathead.png/35px-Bee_keeper_%28Forestry%29_chathead.png,https://oldschool.runescape.wiki/images/Agitated_bees.png,,,,,,,,,,
52,Agmundi,31 May 2005 ( Update ),Yes,Dwarf,Keldagrim,Fremennik ✓,Female,"She seems to be doing rather well for herself, selling clothes in a palace shop.",2366,MOID,https://oldschool.runescape.wiki/images/Agmundi_chathead.png,https://oldschool.runescape.wiki/images/Agmundi.png,"Talk-to, Trade",10210,2868,,,Agmundi Quality Clothes,,,,
53,Agnar,2 November 2004 ( Update ),Yes,Human,Rellekka,Fremennik ✓,Male,One of Rellekka's many citizens.,3937,MOID,https://oldschool.runescape.wiki/images/Agnar_chathead.png,https://oldschool.runescape.wiki/images/Agnar.png,"Talk-to, Pickpocket",3677,2643,The Fremennik Trials,,,,,,
54,Ahab,26 September 2005 ( Update ),No,Human,Rusty Anchor Inn,Asgarnia ✓,Male,So what can one do with a drunken sailor?,1337,MOID,https://oldschool.runescape.wiki/images/Ahab_chathead.png,https://oldschool.runescape.wiki/images/Ahab.png,Talk-to,3257,3050,Bone Voyage,,,,,,
55,Ahrim the Blighted,26 July 2023 ( Update ),Yes,Human,Ancient Vault,N/A,Male,A vengeful spirit corrupted by dark magic.,"12316,12322",MOID,https://oldschool.runescape.wiki/images/thumb/Konar_quo_Maten_chathead.png/46px-Konar_quo_Maten_chathead.png,https://oldschool.runescape.wiki/images/Ahrim_the_Blighted_%28Desert_Treasure_II%29.png,,,,Desert Treasure II,,,Ahrim,98,,
56,Aisles,29 January 2015 ( Update ),Yes,Human,Tai Bwo Wannai,Karamja ✓,Female,A banknote exchange merchant.,2134,MOID,https://oldschool.runescape.wiki/images/Aisles_chathead.png,https://oldschool.runescape.wiki/images/Aisles.png,Talk-to,3122,2767,,,,,,,
57,Aivas,4 January 2018 ( Update ),Yes,Human,N/A,N/A,Male,An ancient warrior.,"8123,8128",MOID,https://oldschool.runescape.wiki/images/Aivas_chathead.png,https://oldschool.runescape.wiki/images/Aivas.png,None,,,Dragon Slayer II While Guthix Sleeps,,,,,,
58,Ajjat,13 June 2006 ( Update ),Yes,Human,Warriors' Guild,Asgarnia ✓,Male,Used to be a black knight.,2460,MOID,https://oldschool.runescape.wiki/images/Ajjat_chathead.png,https://oldschool.runescape.wiki/images/Ajjat.png,"Talk-to, Claim-Tokens",3553,2851,,,Attack cape,,,,
59,Ak-Haranu,15 February 2005 ( Update ),Yes,Human,Port Phasmatys,Morytania ✓,Male,A trader from across the Eastern Ocean.,2989,MOID,https://oldschool.runescape.wiki/images/Ak-Haranu_chathead.png,https://oldschool.runescape.wiki/images/Ak-Haranu.png,"Talk-to, Trade",3497,3690,Ghosts Ahoy,,Ak-Haranu's Exotic Shop.,,,,
60,Ak-Haranu,1 April 2014 ( Update ),No,Human,Eastern Lands,N/A,Male,He might actually be from somewhere further East than this.,removed,MOID,https://oldschool.runescape.wiki/images/thumb/Captain_Emmemji_chathead.png/35px-Captain_Emmemji_chathead.png,https://oldschool.runescape.wiki/images/Ak-Haranu.png,,,,2014 April Fools,3 April 2014 ( Update ),,,,,
61,Akkha's Phantom,24 August 2022 ( Update ),Yes,Apparition,Tombs of Amascut,Desert ✓,Male,A phantom of Akkha.,11777,MOID,https://oldschool.runescape.wiki/images/thumb/Maisa_chathead.png/28px-Maisa_chathead.png,https://oldschool.runescape.wiki/images/Akkha%27s_Phantom.png,,,,,,,,337,,
62,Akrisae,10 July 2024 ( Update ),Yes,Human,White Knights' Castle,Asgarnia ✓,,A Priest of Saradomin and member of the Temple Knights.,"13543,13544",MOID,https://oldschool.runescape.wiki/images/Akrisae_chathead.png,https://oldschool.runescape.wiki/images/Akrisae.png,Talk-to,3341,2988,While Guthix Sleeps,,,,,,
63,Akthanakos,23 January 2006 ( Update ),Yes,Mahjarrat,Enakhra's Temple,N/A,Male,He's been freed from the boneguard.,"3578,12313,12397",MOID,https://oldschool.runescape.wiki/images/Akthanakos_chathead.png,https://oldschool.runescape.wiki/images/Akthanakos.png,Talk-to,9297,3105,Enakhra's Lament Desert Treasure II,,,,,,
64,Al Kharid Camel,24 July 2006 ( Update ),Yes,Camel,N/A,Fremennik ✓,,N/A,No,MOID,https://oldschool.runescape.wiki/images/Camel_chathead.png,,,,,,,,,,,
65,Al Shabim,14 April 2003 ( Update ),Yes,Human,Bedabin Camp,Desert ✓,Male,He's the leader of the Bedabin tribe.,4637,MOID,https://oldschool.runescape.wiki/images/Al_Shabim_chathead.png,https://oldschool.runescape.wiki/images/Al_Shabim.png,Talk-to,3029,3171,The Tourist Trap,,,,,,
66,Al the Camel,23 January 2006 ( Update ),No,Camel,Al Kharid,Desert ✓,Male,A camel who has the soul of a poet.,5949,MOID,https://oldschool.runescape.wiki/images/Al_the_Camel_chathead.png,https://oldschool.runescape.wiki/images/Al_the_Camel.png,Talk-to,3170,3276,,,None,,,,
67,Alain,11 July 2005 ( Update ),Yes,Human,Taverley,Asgarnia ✓,Male,Perhaps this gardener might look after your crops for you.,2678,MOID,https://oldschool.runescape.wiki/images/Alain_chathead.png,https://oldschool.runescape.wiki/images/Alain.png,"Talk-to, Pay, Trade",3439,2937,Garden of Tranquillity,,Yes,,,,
68,Alan,22 June 2022 ( Update ),No,Human,Blue Moon Inn,N/A,Male,A citizen of Varrock.,hist11656,MOID,https://oldschool.runescape.wiki/images/Alan_%282022_Pride_event%29_chathead.png,https://oldschool.runescape.wiki/images/Alan_%282022_Pride_event%29.png,,3406,3216,,13 July 2022 ( Update ),,,,,
69,Alan,10 January 2019 ( Update ),Yes,Human,Farming Guild,Kourend ✓,Male,Perhaps this gardener might look after your crops for you.,8535,MOID,https://oldschool.runescape.wiki/images/Alan_%28Farming_Guild%29_chathead.png,https://oldschool.runescape.wiki/images/Alan_%28Farming_Guild%29.png,"Talk-to, Pay, Trade",3734,1264,,,,,,,
70,Alan,23 July 2025 ( Update ),Yes,Human,Tal Teok,Varlamore ✓,Male,He looks a little out of place here.,14475,MOID,https://oldschool.runescape.wiki/images/Alan_%28Scrambled%21%29_chathead.png,https://oldschool.runescape.wiki/images/Alan_%28Scrambled%21%29.png,Talk-to,3167,1247,Scrambled!,,,,,,
71,Alaxxi,25 September 2024 ( Update ),Yes,Human,Aldarin,Varlamore ✓,,A skilled alchemist.,13926,MOID,https://oldschool.runescape.wiki/images/Alaxxi_chathead.png,https://oldschool.runescape.wiki/images/Alaxxi.png,Talk-to,2916,1385,,,,,,,
72,Alba,25 September 2024 ( Update ),Yes,Human,Ortus Farm,Varlamore ✓,Female,She knows a thing or two about being a farmer.,13807,MOID,https://oldschool.runescape.wiki/images/Alba_chathead.png,https://oldschool.runescape.wiki/images/Alba.png,Talk-to,3128,1586,Meat and Greet,,,,,,
73,Albatross,19 November 2025 ( Update ),Yes,,Varies,N/A,,Get your albatross!,15225,MOID,,https://oldschool.runescape.wiki/images/Albatross_%28defeated%29.png,Harvest,,,,,,,110,,
74,Alchemy Guardian,4 January 2006 ( Update ),Yes,Golem,Mage Training Arena,Desert ✓,,A guardian of the arena.,5980,MOID,https://oldschool.runescape.wiki/images/Alchemy_Guardian_chathead.png,https://oldschool.runescape.wiki/images/Alchemy_Guardian.png,Talk-to,3308,3363,,,,,,,
75,Alec Kincade,7 December 2017 ( Update ),No,Human,Myths' Guild,Kandarin ✓,Male,The guildmaster of the Myths' Guild.,7950,MOID,https://oldschool.runescape.wiki/images/Alec_Kincade_chathead.png,https://oldschool.runescape.wiki/images/Alec_Kincade.png,Talk-to,2868,2457,,,,,,,
76,Aleck,21 November 2006 ( Update ),Yes,Human,Yanille,Kandarin ✓,Male,He acts as if he owns the place.,1501,MOID,https://oldschool.runescape.wiki/images/Aleck_chathead.png,https://oldschool.runescape.wiki/images/Aleck.png,"Talk-to, Trade",3083,2567,,,Aleck's Hunter Emporium.,,,,
77,Alek Constantine,4 June 2020 ( Update ),Yes,Vampyre,West Darkmeyer,Morytania ✓,Male,Even Buffy would struggle to stop him.,9696,MOID,https://oldschool.runescape.wiki/images/Alek_Constantine_chathead.png,https://oldschool.runescape.wiki/images/Alek_Constantine.png,"Talk-to, Pickpocket",3356,3598,,,,,,,
78,Alexander,7 January 2016 ( Update ),Yes,Human,Port Piscarilius,Kourend ✓,Male,A traveling [ sic ] adventurer.,7014,MOID,https://oldschool.runescape.wiki/images/Alexander_chathead.png,https://oldschool.runescape.wiki/images/Alexander.png,Talk-to,3685,1790,,,,,,,
79,Alexandra,10 January 2019 ( Update ),Yes,Human,Farming Guild,Kourend ✓,Female,Perhaps this gardener might look after your crops for you.,8536,MOID,https://oldschool.runescape.wiki/images/Alexandra_chathead.png,https://oldschool.runescape.wiki/images/Alexandra.png,"Talk-to, Pay (Redwood tree), Trade",3753,1236,,,,,,,
80,Alfonse the waiter,27 February 2002 ( Update ),Yes,Human,Brimhaven,Karamja ✓,Male,"Smartly dressed, and ready to deliver food.",4920,MOID,https://oldschool.runescape.wiki/images/Alfonse_the_waiter_chathead.png,https://oldschool.runescape.wiki/images/Alfonse_the_waiter.png,"Talk-to, Trade",3190,2793,Heroes' Quest,,The Shrimp and Parrot,,,,
81,Ali Morrisane,4 April 2005 ( Update ),No,Human,Al Kharid,Desert ✓,Male,A bazaar merchant.,3533,MOID,https://oldschool.runescape.wiki/images/Ali_Morrisane_chathead.png,https://oldschool.runescape.wiki/images/Ali_Morrisane.png,"Talk-to, Trade",3211,3304,The Feud,,Ali's Discount Wares.,,,,
82,Ali the Barman,4 April 2005 ( Update ),Yes,Human,Pollnivneach,Desert ✓,Male,A hassled looking barman.,3535,MOID,https://oldschool.runescape.wiki/images/Ali_the_Barman_chathead.png,https://oldschool.runescape.wiki/images/Ali_the_Barman.png,"Talk-to, Trade",2958,3361,The Feud,,The Asp & Snake Bar.,,,,
83,Ali the Camel,4 April 2005 ( Update ),Yes,Camel,Pollnivneach,Desert ✓,,"A foul tempered, ugly, lumpy yellow horse prone to spitting.",3543,MOID,https://oldschool.runescape.wiki/images/Ali_the_Camel_chathead.png,https://oldschool.runescape.wiki/images/Ali_the_Camel.png,Pet,2964,3343,• The Feud • My Arm's Big Adventure,,,,,,
84,Ali the Camel Man,4 April 2005 ( Update ),Yes,Human,Pollnivneach,Desert ✓,Male,Ali the discount animal seller.,3538,MOID,https://oldschool.runescape.wiki/images/Ali_the_Camel_Man_chathead.png,https://oldschool.runescape.wiki/images/Ali_the_Camel_Man.png,"Talk-to, Trade",2966,3349,The Feud,,,,,,
85,Ali the Carter,5 December 2005 ( Update ),Yes,Human,Nardah,Desert ✓,Male,A water salesman from Pollnivneach.,4746,MOID,https://oldschool.runescape.wiki/images/Ali_the_Carter_chathead.png,https://oldschool.runescape.wiki/images/Ali_the_Carter.png,Talk-to,2914,3421,,,Waterskin ~ 1000 coins,,,,
86,Ali the dyer,15 August 2005 ( Update ),Yes,Human,Pollnivneach,Desert ✓,Female,A colourful character.,3442,MOID,https://oldschool.runescape.wiki/images/Ali_the_dyer_chathead.png,https://oldschool.runescape.wiki/images/Ali_the_dyer.png,Talk-to,3002,3364,,,,,,,
87,Ali the Farmer,24 October 2005 ( Update ),No,Human,Al Kharid,Desert ✓,Male,One of Ali Morrisane's associates. Carries a rake.,5958,MOID,https://oldschool.runescape.wiki/images/Ali_the_Farmer_chathead.png,https://oldschool.runescape.wiki/images/Ali_the_Farmer.png,Talk-to,3198,3305,,,,,,,
