id,Name,chathead_filename_stem
1049,Dragon Egg,Alan_(Scrambled!)
1050,Dragonkin,King_Black_Dragon
1053,Drake,Squire_(Christmas)
1062,Drill Sergeant,Amelia
1063,Drink troll queen,Aga
1077,Unnamed troll child,Drunken_Dwarf's_Leg
1081,Duck,Squire_(Christmas)
1084,Duck,Arhein
1085,Duck,Buneir
1086,Duck,Nomad
1089,Duelist,Minimus
1092,Duke,Turael
1098,Dung,Burntmeat
1120,Eagle,Charlie
1122,Eagle spirit,Ranulph
1124,Earth spell,Guardian_of_Armadyl_(messenger)
1131,Easter egg,Dommik
1133,Easter ring,Dommik
1134,Ebenezer1843,Guss_Mistletoad
1148,Egg,Easter_Bunny_(2014_Easter_event)
1150,Egg,Dagannoth_Prime_Jr.
1151,Egg launcher,Captain_Cain
1152,Egg mine cart,Easter_Bunny
1179,Eldric the Ice King,Vannaka
1188,Elfinlocks,BigRedJapan
1191,Elidinis' Warden,Maisa
1232,Enchanted Broom,Baba_Yaga
1233,Enchanted Bucket,Baba_Yaga
1238,Energy focus (white),Captain_Rimor
1239,Energy Siphon,Maisa
1240,Engineer,"Black_Guard_(level_25,_1)"
1241,Engineering assistant,"Black_Guard_(level_25,_1)"
1245,Enormous Tentacle,Murphy
1246,Ent trunk,Krystilia
1247,Ent,Cap'n_Hand
1248,Ent,Ranulph
1264,Erin,Amy
1266,Chicken,Ernest
1294,Eye,Dark_Mage_(Abyss)
1315,Falador Knight,Duke_Horacio
1328,Farmer,"Worker_(Varlamore,_2)"
1355,Female amur leopard,Emem_Sharma
1356,Female lion,Emem_Sharma
1358,Female snow leopard,Emem_Sharma
1359,Female tiger,Emem_Sharma
1375,Fighter,1v1_Tournament_Guide
1392,Fire,Bran
1393,Fire,Tiny_Tempor
1394,Fire spell,Yama
1395,Fire Wave,Martin_Holt
1402,Fish,Charles_(Fossil_Island)
1404,Fish,Charles_(Fossil_Island)
1406,Fish,Charles_(Fossil_Island)
1409,Fish shoal,Charles_(Fossil_Island)
1410,Fishbowl,Harry
1417,Fishing spot,Chancellor_Hassan
1418,Fishing spot,Alry_the_Angler
1423,Fishing spot,Ramarno
1424,Fishing spot,Academic_(1)
1426,Fishing spot,Centaur_(male)
1434,Fishing spot,Arnold_Lydspor
1438,Fishing spot,Tiny_Tempor
1440,Fishing spot,Account_Guide
1448,Floating Column,Lil'viathan
1449,Floki,Buneir
1450,Injured Tortugan,Floopa
1454,Flower,Guildmaster_Jane
1455,Flower,Mysterious_Stranger
1457,Flowering bush (Blue),Bee_keeper_(Forestry)
1458,Flowering bush,Bee_keeper_(Forestry)
1459,Fly trap,Alfonse_the_waiter
1462,Flying squirrel,Fabia
1476,Fox trap,Bee_keeper_(Forestry)
1481,Frank,Auctioneer
1496,Friend,Nigel
1497,Friendly Bees,Bee_keeper_(Forestry)
1501,Frightened Fox,Bee_keeper_(Forestry)
1508,Frog,Eyatlalli
1509,Frog,Ramarno
1510,Frog,Gary
1515,Frosty snakeling,Santa_Claus
1516,Frosty spider,Santa_Claus
1517,Frozen Orb,Maisa
1528,Furnace grate,Lazim
1533,Gabe,Party_Pete
1574,Gemstone Crab Shell,Huberte
1575,Gene,Da_Vinci
1601,Ghast,Dalcian_Fang_(easy)
1604,Ghost (?),Bedsheet
1607,Ghost,Malignius_Mortifer
1611,sanctuary_ghost,Damien_Leucurte
1612,Ghost,Nomad
1615,null[?],"Ghost_(Wilderness,_slayer_cave)"
1627,Ghostly figure,Rick_(2020_Halloween_event)
1630,Giant,Bee_keeper
1631,Giant bat,Alfonse_the_waiter
1632,Giant bat,King_Lathas
1633,Giant clam,Castaway_(Wilson)
1634,Giant lobster,Turael
1635,Boulder,Mazchna
1644,Giral bat,Captain_Rimor
1686,Goblin,Scrubfoot
1687,Goblin,Bee_keeper
1690,Sleeping guard,Turael
1696,Gold ore,Dumpy
1697,Golden sheep,Poison_Salesman
1703,null[?],Velorina
1704,Goose,Guss_Mistletoad
1729,Green fireflies,Scrubfoot
1730,Green geist,Diango
1733,Green h'ween Mask,Dommik
1735,Green partyhat,Dommik
1736,Green Sheep,Councillor_Halgrive
1737,Green skink,Guild_Hunter_Fox
1764,Guanic bat,Captain_Rimor
1779,Guard,Denulth
1792,Guard,Gertrude
1800,Guard dog,"Servius,_Teokan_of_Ralos"
1807,null[?],The_Sage_(Raging_Echoes_League)
1808,null[?],The_Sage_(Trailblazer_Reloaded_League)
1809,Gublinch,Shanty_Claws
1827,Gull,Antonia
1840,Dog,"Servius,_Teokan_of_Ralos"
1842,Guthan the Infested,Konar_quo_Maten
1849,Gyr Falcon,Hunting_expert
1865,Half full wine jug,Dommik
1866,Half-soulless,King_Lathas
1881,Hand in a box,Diango
1882,Hangman game,Jacky_Jester
1883,Dummy,Hank_(Well)
1888,Happy child,Santa_Claus
1896,Harpy eagle,Guild_Hunter_Fox
1899,Harvester,Achilka
1904,Hats & scarves,Dommik
1905,Haze,Turael
1909,Hazelmere's hat,Guardian_of_Armadyl_(messenger)
1916,Healthorg and tortoise,Brimstail
1924,Hell-Rat,Evil_Dave
1938,Herbiboar,Charles_(Fossil_Island)
1948,Het's Seal (protected),Maisa
1953,High Priest,Commander_(2013_Goblin_Invasion)
1979,Stunned Hoop Snake,Charles_(Fossil_Island)
1984,Horacio,Gertrude
1991,House,Lokar_Searunner
2012,Ian,Alwyn
2014,Ice block,Asgarnia_Smith
2015,Ice Totem,Golem_(Desert_Treasure_II)
2018,Icelord,Santa_Claus
2021,Icicles,Bran
2030,Iffie,Monk_(2021_Halloween_event)
2035,Ikniu,Academic_(1)
2045,Imp,Lanthus
2047,Imp,Yama
2049,Implimgs,The_Sage
2059,Innocent-looking key,Zealot
2061,null[?],Brimstail
2067,Iron ore,Dumpy
2089,Jack lantern mask,Dommik
2093,JacobM7,Guss_Mistletoad
2097,Jaguar Egg,Alan_(Scrambled!)
2098,Jaguar spirit,Ranulph
2123,Jerboa,Guild_Hunter_Fox
2131,Jewelled Crab,Captain_Rimor
2136,Imp,Jim
2147,Joe,Shipwright_Seb
2153,Joint-Chief Mouser to the Shipyard Office,Shipwright_Seb
2157,Jonas,Grim_Reaper
2160,The Jormungand,Vannaka
2169,Jubbly bird,Skrach_Uglogwee
2170,Jubbly bird,Rum-dashed_Ralph
2172,Jug,Maisa
2180,Jungle eagle,Charlie
2184,Jury,Anna
2199,Kalphite Larva,Entomologist
2210,Karamthulhu,Pirate_Pete
2211,Karamthulhu,Pirate_Pete
2213,Karil the Tainted,Konar_quo_Maten
2234,Kephri,Maisa
2235,Kephri's Phantom,Maisa
2242,Kharid Scorpion,Thormac
2243,Mysterious ghost,Kharrim
2245,Khazard Guard,Lady_Servil
2253,Kimba,Cecilia_(2021_Christmas_event)
2265,King Snagwort,Commander_(2013_Goblin_Invasion)
2271,Kitten,Gertrude
2297,Hill Giant,Kovac
2301,Kroy,Mazchna
2303,Kryket bat,Captain_Rimor
2305,Kualti,Martin_Holt
2317,The Queen of Thieves,Lady_Shauna_Piscarilius
2330,Chicken Egg,Alan_(Scrambled!)
2332,Large Tendril,Lil'viathan
2338,Larry,Auguste
2355,Lead ore,Dumpy
2369,Leech display,Aris
2377,Mysterious ghost,Lennissa
2396,Light creature,Juna
2397,Light leech,Golem_(Desert_Treasure_II)
2398,Lightning cloud,Rum-dashed_Ralph
2399,Lightning cloud,Tiny_Tempor
2417,Man,Livius
2419,Lizard,Phileas_Rimor
2420,Lizard display,Aris
2421,Lizard man,Captain_Emmemji
2422,Lizard man,Elven_city_guard
2426,Loading crane,Zealot
2437,Loki,Gamer_(Rich)
2439,Lola,Atza
2445,Looming shadow,King_Narnode_Shareen
2463,Lost camphor crate,Castaway_(Wilson)
2464,Lost casket (beginner),Castaway_(Wilson)
2465,Lost casket (easy),Castaway_(Wilson)
2466,Lost casket (elite),Castaway_(Wilson)
2467,Lost casket (hard),Castaway_(Wilson)
2468,Lost casket (master),Castaway_(Wilson)
2469,Lost casket (medium),Castaway_(Wilson)
2470,Lost ironwood crate,Castaway_(Wilson)
2471,Lost mahogany crate,Castaway_(Wilson)
2472,Lost oak crate,Castaway_(Wilson)
2473,Lost Soul,Golem_(Desert_Treasure_II)
2474,Lost Soul,Lil'viathan
2475,Lost teak crate,Castaway_(Wilson)
2476,Lost wooden crate,Castaway_(Wilson)
2481,???,Love
2482,Love Cats,Apothecary
2508,Lutist,Party_Pete
2510,Lux grub,Captain_Rimor
2511,Lynx,Lord_Shiro_Shayzien
2514,Macaroni Penguin,Agility_Instructor
2515,Macaw,Fabia
2542,Male amur leopard,Emem_Sharma
2543,Male lion,Emem_Sharma
2545,Male snow leopard,Emem_Sharma
2546,Male tiger,Emem_Sharma
2555,Man,Edmond
2561,Maniacal monkey,King_Narnode_Shareen
2572,Marionette set,Dommik
2579,Mark,Archer_(Burthorpe)
2583,Chef,Marla
2596,Dummy,Marv_(Well)
2602,Masked stranger,Grim_Reaper
2616,Mayor of Catherby,Arhein
2621,Me?,Golem_(Desert_Treasure_II)
2622,Meat tree,Captain_Rimor
2650,MerryMax2000,Guss_Mistletoad
2671,Mime,Bee_keeper
2673,Mine cart,Zealot
2681,MiniatureMarie,Guss_Mistletoad
2685,null[?],Minion_(NPC)
2690,Egg,Turael
2691,Mischievous ghost,Zealot
2696,Mist,Vampyre_Juvenile
2699,Mithril ore,Dumpy
2700,Mittens,Gamer_(Rich)
2702,Mod_Freddie,Sir_Prysin_(2025_Christmas_event)
2703,Moe,Auguste
2707,Mogre,Mazchna
2711,Mole display,Aris
2720,Monk of Zamorak,Elias_White
2721,Monkey,Mac
2728,Monkey display,Aris
2732,Big Monolith,King_Bolren
2734,Moonlight moth,Guild_Hunter_Fox
2749,Moss Lizard,Eyatlalli
2765,Mouse,Boy
2772,Mugger,Amelia
2773,Mummy,Bee_keeper
2774,Mummy ashes,Asgarnia_Smith
2775,Growler,Grim_Reaper
2782,Murng bat,Captain_Rimor
2786,Mushroom,Aga
2793,Mysterious glow,Castaway_(Wilson)
2798,Mysterious Watcher,Gary_(25th_Anniversary_event)
2799,Mystery figure,Leon_d'Cour
2800,Mystery fruit,Meaty_Aura_Logist
2801,Naghead,Goblin_guard
2835,Nick,Examiner_(1)
2836,Nickel ore,Dumpy
2842,Nigel,Easter_Bunny
2843,Nightmare Zone lobby cow,Elven_city_guard
2852,Nisha,Examiner_(1)
2870,Nugget,Nigel
2880,Nylocas,Mysterious_Stranger
2881,Nylocas Ischyros,Garth_(Theatre_of_Blood)
2889,Obelisk,Maisa
2896,Odd Figure,Golem_(Desert_Treasure_II)
2937,Orb of Darkness,Maisa
2938,Orb of Lightning,Maisa
2950,Orsaga's chinchompa,Guildmaster_Apatura
2955,Spirit,Osmumten
2969,Owl,Mysterious_Stranger
2976,Paladin,Alec_Kincade
2977,Palm of Resourcefulness,Maisa
2983,Parrot,Honest_Jimmy
2986,Parrots,Sanfew
2990,Party Pete,Captain_Emmemji
2994,Patrolman,Captain_Khaled
2995,Patrolwoman,Captain_Khaled
3002,Pay-dirt,Prospector_Percy
3008,null[?],Peeve
3013,Penguin display,Aris
3019,Perfect gold ore,Dumpy
3033,Pet rock,Poison_Salesman
3039,Peter,Easter_Bunny
3044,Phantom,Maisa
3048,Pheasant,Bee_keeper_(Forestry)
3055,Phluxia bat,Captain_Rimor
3063,Pig,Elstan
3065,Pile of bones,Lazim
3080,Pirate,Krystilia
3084,PKMaster0036,Queen_Ellamaria
3085,Plague cow,"Banker_(Sophanem,_female)"
3088,Poacher,Bee_keeper_(Forestry)
3089,null[?],"Banker_(Lovakengj,_1)"
3091,Polar eagle,Charlie
3093,Polly,'Squawking'_Steve_Beanie
3108,Portal,Gary_(25th_Anniversary_event)
3112,Iron pickaxe,Zealot
3113,Possessed puppet,Diango
3115,Pouncer,Rick_(2020_Halloween_event)
3117,Prael bat,Captain_Rimor
3119,Prancer,"Wise_Old_Man_(2017_Christmas_event,_santa)"
3130,Quetzal,Aris
3140,Prisoner,Academic_(1)
3156,null[?],Protester_(male)
3158,Psykk bat,Captain_Rimor
3159,Puffer Fish,Charles_(Fossil_Island)
3161,Puffin,Sir_Prysin_(2025_Christmas_event)
3162,Pumpkin,Dommik
3165,Purepker895,BigRedJapan
3167,Purple partyhat,Dommik
3170,Pusskins,Gamer_(Rich)
3171,Pygmy hippo,Fabia
3172,Pygmy hippo calf,Fabia
3182,Quetzal,Guildmaster_Apatura
3186,Qutiedoll,Burntmeat
3188,r2t2pnsh0Ty,Mysterious_Stranger
3189,R4ng3rNo0b889,Apothecary
3192,Rabbit,Lanthus
3193,Rabbit,Guildmaster_Jane
3196,Raccoon,Thigo
3198,Dummy,Rachel_(Well)
3199,Racoon[sic]buddy,Meaty_Aura_Logist
3216,Ranger,Guildmaster_Jane
3218,Ranger,General_Vir
3228,Rat,Rum-dashed_Ralph
3229,Rat,Gamer_(Rich)
3239,Rebel,Nigel
3240,Rebel Archer,Edmond
3250,Red fireflies,Scrubfoot
3251,Red geist,Diango
3252,Red h'ween Mask,Dommik
3254,Red Panda,Alwyn
3256,Red partyhat,Dommik
3258,Red Sheep,Councillor_Halgrive
3259,Red skink,Fabia
3271,Reindeer hat,Dommik
3281,Mysterious ghost,Rennard
3282,Renu,Ennius_Tullus
3286,Resonance crystal,Rum-dashed_Ralph
3293,Rhino,Nigel
3314,Ritual circle (green),Bee_keeper_(Forestry)
3323,Rocking chair,Monk_(2021_Halloween_event)
3328,Crocodile,Jamila
3342,Rooster,Elstan
3353,Royal Guard,Elise
3356,Rubber chicken,Dommik
3365,Runite Minor,BigRedJapan
3366,Runite ore,Dumpy
3369,Rupert the Beard,Drain_pipe
3370,Egg,Turael
3372,Saba,Captain_Emmemji
3379,Sadie,Cecilia_(2021_Christmas_event)
3397,null[?],Damien_Leucurte
3398,Salenab,Aberab
3409,Sand storm,Father_Reen
3412,Sandwich lady,Captain_Emmemji
3420,Bearded stranger,Santa_Claus
3421,Santa hat,Dommik
3424,Santa's throne,Squire_(Christmas)
3433,Dummy,Sarah_(Well)
3440,Savage bird,Cap'n_Hand
3453,Scorpion,Bella_Le_Bowle
3455,Scorpion spirit,Ranulph
3463,Scruffy,Ceril_Carnillean
3465,Scythe,Dommik
3468,Sea slug,Caroline
3469,Sea slugs display,Aris
3470,Sea Troll General,Aga
3501,Servery assistant,Angelo
3506,Shade Spirit,Dampe
3507,Shadow,Dusuri
3508,Shadow Totem,Golem_(Desert_Treasure_II)
3524,Sheep,Fred_the_Farmer
3525,Sheep,Duke_Horacio
3526,Sheep,Emem_Sharma
3527,Sheep,Lanthus
3530,Sheepdog,Elstan
3555,Shipyard Engineer,Shipwright_Seb
3602,Sigmund and Zanik,Ambassador_Alvijar
3615,Silver ore,Dumpy
3627,Sir Burrus,Cecilia_(2021_Christmas_event)
3663,Skeleton,Eric_(2018_Halloween_event)
3664,Skeleton,Lazim
3665,Skeleton,Malignius_Mortifer
3667,Skeleton mage,Malignius_Mortifer
3668,Skeleton outfit,Dommik
3674,Skullball,Alexis
3678,Skylark,Elder_Coco
3679,Rock pile,Yanni_Salika
3682,Slave,Eluned
3685,Sleepwalker,Damien_Leucurte
3689,Slippers,Alwyn
3693,Slug Prince,Sir_Tiffy_Cashien
3696,Smart-looking dog,Antonia
3701,Smithing catalyst,Dumpy
3703,Smoke Totem,Golem_(Desert_Treasure_II)
3707,Snail display,Aris
3709,Snake,Ali_Morrisane
3710,Snake spirit,Ranulph
3712,Snow,Captain_Kalt
3713,Snow Sprite,"Wise_Old_Man_(2017_Christmas_event,_santa)"
3714,Tiny snowball,Squire_(Christmas)
3717,Snowman,Amy
3723,Soldier,Archer_(Burthorpe)
3727,Soldier,Guildmaster_Jane
3730,Soldier,Angelo
3731,Soldier,Lord_Shiro_Shayzien
3733,Soldier,Amelia
3738,Sookie,Aris
3745,Soul,Grim_Reaper
3747,Pig Thing,Sarah
3749,Spawn,Captain_Cleive
3757,Spider,Mysterious_Stranger
3759,Spidey dog,Costumed_child_(jack_o'lantern)
3761,Spin Blades,Brian_O'Richard
3769,Spirit pool,Tiny_Tempor
3771,Spooky chair,Death_(2025_Halloween_event)
3772,Spooky dog,Costumed_child_(jack_o'lantern)
3774,Spotted Rae,Shipwright_Seb
3777,Spring Elemental,Apprentice
3796,Squirrel friend,Meaty_Aura_Logist
3797,Squirrel monkey,Fabia
3799,Stag,Emem_Sharma
3809,Stool,Sir_Prysin_(2025_Christmas_event)
3811,Storm cloud,Banker_(Zanaris)
3813,Strange bush (Blue),Bee_keeper_(Forestry)
3814,Strange bush,Bee_keeper_(Forestry)
3815,Strange Device,Phileas_Rimor
3817,Strange plant,Bee_keeper
3818,Strange watcher,Bee_keeper
3821,Stray dog,Aris
3822,Stray dog,Marika
3823,Stray dog,Death_(2025_Halloween_event)
3832,Strong winds,Castaway_(Wilson)
3836,Stunted demonic gorilla,King_Narnode_Shareen
3840,Summer Elemental,Apprentice
3841,Summoned Soul,Key_Master
3844,Sunlight antelope,Guild_Hunter_Fox
3845,Sunlight Moth,Guild_Hunter_Fox
3850,Supporting Pillar,Abigaila
3853,Surma,Alwyn
3861,Swamp creature,Dalcian_Fang_(easy)
3864,Swamp toad,Rantz
3866,Swarm,Alfonse_the_waiter
3867,Swarm,Cap'n_Hand
3868,Swarm,Honest_Jimmy
3875,Tail,Lil'viathan
3877,Talia,Angelo
3885,Taper,Bee_keeper
3886,Tapir,Fabia
3887,Tapir calf,Fabia
3888,Passive Tar Monster,Charles_(Fossil_Island)
3904,Techichi,Antonia
3905,Tecu salamander,Guild_Hunter_Fox
3911,Tempoross,Tiny_Tempor
3913,Tentacle,The_Overseer
3914,Tentacle,Lil'viathan
3918,Terror dog statue,Tarn
3919,Terrorbird display,Aris
3922,Terrorchick gnome,Anita
3934,The Illusive,Cyrisus
3936,The Leviathan?,Golem_(Desert_Treasure_II)
3945,The Shaikahan,Timfraku
3953,Bed,Aggie
3956,Thistle,Sanfew
3986,Tin ore,Dumpy
4010,Topsy,Gamer_(Rich)
4011,Torag the Corrupted,Konar_quo_Maten
4014,Tornado,"Servius,_Teokan_of_Ralos"
4015,null[?],Eyatlalli
4016,null[?],Bryn
4017,null[?],Bryn
4022,Totem,Little_nightmare
4023,Totem,Little_nightmare
4024,Toucan,Fabia
4030,Toy boatman,Diango
4049,Trainee Guard,Aris
4056,Treacle,Gamer_(Rich)
4057,Treasure fairy,Jacky_Jester
4059,Ghost,Turael
4066,Troll,Captain_Emmemji
4071,Trolley (empty),Queen_Ellamaria
4072,Trolley (king),Queen_Ellamaria
4073,Trolley (Saradomin),Queen_Ellamaria
4078,Tsunami,Alec_Kincade
4080,Tumeken's Warden,Maisa
4082,Turbogroomer,Gamer_(Rich)
4086,Turkey,Ball_boy
4089,Twig,Almera
4117,Ulfric,Turael
4123,Undead cow,Turael
4124,Undead Hero,Guardian_of_Armadyl_(messenger)
4125,Undead Mage,Guardian_of_Armadyl_(messenger)
4126,Tree,Ava
4129,Unfinished Beehive,Bee_keeper_(Forestry)
4131,Unicorn,King_Lathas
4134,Unstable Orb,Maisa
4154,Mysterious ghost,Valdez
4177,Vefari,Weave
4185,Verac the Defiled,Konar_quo_Maten
4197,Guard,Viero
4198,Mysterious ghost,Viggora
4211,Vixen,"Wise_Old_Man_(2017_Christmas_event,_santa)"
4222,Vorkath,Turael
4233,Wagchin,Goblin_guard
4239,War ship,Dommik
4242,Warrior,Nigel
4245,Water spell,Guardian_of_Armadyl_(messenger)
4247,Wave,Maisa
4256,Weasel,Nigel
4272,Fishing spot,Cap'n_Hand
4276,White partyhat,Dommik
4277,White rabbit,Nesty
4278,WhoLouCindy57,Guss_Mistletoad
4279,Wild Beehive,Bee_keeper_(Forestry)
4280,Wild broav,Guardian_of_Armadyl_(messenger)
4282,Dummy,Wilf_(Well)
4289,Wind spell,Guardian_of_Armadyl_(messenger)
4293,Winter Elemental,Apprentice
4295,Wintertoad,Captain_Kalt
4296,Wintumber tree,Dommik
4298,Wise Old Man,Captain_Emmemji
4309,Wizard,Lisa
4323,Wizguard,Nigel
4327,Woman,Edmond
4333,Wooden ducks,Diango
4335,Woofson,Antonia
4346,Workman,Barge_foreman
4347,Workman,Barge_foreman
4358,Wyvern display,Aris
4360,Xarpus,Abigaila
4365,Xolo,Academic_(1)
4379,Yellow geist,Diango
4381,Yellow partyhat,Dommik
4382,Yellow Sheep,Councillor_Halgrive
4387,Yo-yo,Dommik
4408,Zaros,Captain_Emmemji
4411,Zebak,Maisa
4412,Zebak's Phantom,Maisa
4413,Zebak's Tail,Maisa
4423,Zombie,Malignius_Mortifer
4424,Zombie,Bee_keeper
4426,Zombie head,Dommik
4442,Fungi,Chaeldar
