id,Name,Class,Gender,facial_hair,facial_hair_conf,hair_color,hair_color_conf,headwear,headwear_conf,eyewear,eyewear_conf,eyes,eyes_conf,skin_tone,skin_tone_conf,apparent_age,apparent_age_conf,held_weapon,held_weapon_conf,cape,cape_conf,wings,wings_conf,body_build,body_build_conf,caption
39,Advisor Ghrim,Human,Male,beard,0.4663789,bald,0.88089997,none,0.37909096,glasses_or_goggles,0.6643927,not_visible,0.64101756,red,0.71221125,child,0.5632959,staff_wand,0.549232,cape_or_cloak,0.515537,none,0.88425434,average,0.5421105,"Advisor Ghrim: Human, male, a beard, glasses, a cape"
40,Aemad,Human,Male,goatee,0.58217984,bald,0.5542095,none,0.33846253,none,0.6347291,not_visible,0.5772448,red,0.44974193,child,0.47311938,tool,0.38671458,none,0.9431839,none,0.9191043,heavy,0.44024894,"Aemad: Human, male, a goatee"
41,Aemilia,Human,Female,clean_shaven,0.34117496,brown,0.5145549,none,0.5381195,glasses_or_goggles,0.60219544,not_visible,0.5459911,red,0.73034036,young_adult,0.51248074,staff_wand,0.38489923,none,0.8531129,none,0.87786734,heavy,0.49957943,"Aemilia: Human, female, brown hair, glasses"
42,Aeonisig Raispher,Human,Male,beard,0.60775095,bald,0.9415931,helmet,0.3331132,glasses_or_goggles,0.82368934,not_visible,0.7222305,red,0.7429465,child,0.44293338,staff_wand,0.5486997,none,0.61079586,none,0.8950879,average,0.5254708,"Aeonisig Raispher: Human, male, a beard, a helmet, glasses"
43,Afrah,Human,Female,clean_shaven,0.43615708,bald,0.7231755,helmet,0.37293717,glasses_or_goggles,0.65088344,not_visible,0.61715406,red,0.6232153,child,0.57191986,melee_weapon,0.42766768,none,0.9497903,none,0.902302,heavy,0.37556309,"Afrah: Human, female, a helmet, glasses"
44,Aga,Troll,Female,goatee,0.3985105,red,0.49410772,helmet,0.49690664,glasses_or_goggles,0.6381696,not_visible,0.64987344,red,0.7178641,child,0.66399676,bow,0.36988476,none,0.89017147,none,0.88399976,heavy,0.7214208,"Aga: Troll, female, a goatee, red hair, a helmet, glasses"
45,Agelus,,,clean_shaven,0.43846247,bald,0.65537846,crown,0.49565512,glasses_or_goggles,0.65591437,not_visible,0.62086076,green,0.4774626,child,0.654327,staff_wand,0.3875805,none,0.83638054,none,0.904477,heavy,0.6007113,"Agelus: a crown, glasses"
46,Aggie,Human,Female,clean_shaven,0.51204944,unnatural,0.5187715,hat,0.47423723,glasses_or_goggles,0.5419027,not_visible,0.56418216,green,0.8921811,child,0.5298652,melee_weapon,0.322085,none,0.55377823,none,0.9230151,average,0.45265374,"Aggie: Human, female, unnatural hair, a hat, glasses"
47,Aggie,Human,,clean_shaven,0.5118513,unnatural,0.51838315,hat,0.47636664,glasses_or_goggles,0.5394273,not_visible,0.5642335,green,0.8920853,child,0.5295401,melee_weapon,0.31236768,none,0.56763005,none,0.922133,average,0.41510263,"Aggie: Human, unnatural hair, a hat, glasses"
48,Agility Boss,Werewolf,Male,goatee,0.6630293,bald,0.32139975,mask,0.46171606,none,0.58618605,not_visible,0.5147115,red,0.57446915,young_adult,0.5493117,melee_weapon,0.263558,none,0.8769053,none,0.90161365,thin,0.43565226,"Agility Boss: Werewolf, male, a goatee, a mask"
49,Agility Instructor,Penguin,Male,goatee,0.34957528,bald,0.6711118,helmet,0.4488116,none,0.5919218,not_visible,0.6903993,red,0.40789747,child,0.5571496,tool,0.64731824,none,0.8060011,none,0.7034321,thin,0.52384686,"Agility Instructor: Penguin, male, a goatee, a helmet"
50,Agility Trainer,Werewolf,Male,goatee,0.6630293,bald,0.32139975,mask,0.46171606,none,0.58618605,not_visible,0.5147115,red,0.57446915,young_adult,0.5493117,melee_weapon,0.30426574,none,0.84247375,none,0.8482403,thin,0.45844474,"Agility Trainer: Werewolf, male, a goatee, a mask"
51,Agitated bees,,,,,,,,,,,,,,,,,,,,,,,,,Agitated bees
52,Agmundi,Dwarf,Female,clean_shaven,0.58208567,bald,0.7413484,none,0.64884293,none,0.5000119,not_visible,0.7647425,red,0.4580528,young_adult,0.5679889,staff_wand,0.46537867,none,0.92633826,none,0.91789156,thin,0.3296421,"Agmundi: Dwarf, female"
53,Agnar,Human,Male,beard,0.63958275,bald,0.7885218,helmet,0.79686815,glasses_or_goggles,0.6830574,not_visible,0.71035755,red,0.695765,child,0.5808764,tool,0.6508604,none,0.8864271,none,0.8745524,heavy,0.48512048,"Agnar: Human, male, a beard, a helmet, glasses"
54,Ahab,Human,Male,clean_shaven,0.5605813,bald,0.6382089,none,0.6514665,glasses_or_goggles,0.5874837,not_visible,0.6181941,red,0.53314376,young_adult,0.5356056,tool,0.5507461,none,0.9317281,none,0.9486817,heavy,0.4084662,"Ahab: Human, male, glasses"
55,Ahrim the Blighted,Human,Male,,,,,,,,,,,,,,,staff_wand,0.41016757,cape_or_cloak,0.5097429,none,0.9247878,thin,0.49818107,"Ahrim the Blighted: Human, male, a cape"
56,Aisles,Human,Female,clean_shaven,0.54700226,bald,0.43706372,none,0.46412867,glasses_or_goggles,0.6490283,not_visible,0.690144,red,0.6314243,child,0.63219106,tool,0.32812384,none,0.8110373,none,0.89495134,heavy,0.68010706,"Aisles: Human, female, glasses"
57,Aivas,Human,Male,beard,0.85297793,bald,0.33131388,helmet,0.3297794,glasses_or_goggles,0.7753424,not_visible,0.6122332,green,0.6044075,child,0.64927334,tool,0.5900499,none,0.83577514,none,0.88277805,heavy,0.47209603,"Aivas: Human, male, a beard, a helmet, glasses"
58,Ajjat,Human,Male,beard,0.4782686,bald,0.7326129,none,0.47807118,glasses_or_goggles,0.6590979,not_visible,0.76085746,red,0.5769459,child,0.47959772,melee_weapon,0.454562,none,0.6115111,none,0.90629643,average,0.5114238,"Ajjat: Human, male, a beard, glasses"
59,Ak-Haranu,Human,Male,beard,0.4222762,bald,0.4785204,helmet,0.40661755,glasses_or_goggles,0.7794212,not_visible,0.6852811,red,0.85748553,child,0.6184429,melee_weapon,0.4245954,cape_or_cloak,0.5055082,none,0.9164387,average,0.40499827,"Ak-Haranu: Human, male, a beard, a helmet, glasses, a cape"
60,Ak-Haranu,Human,Male,,,,,,,,,,,,,,,melee_weapon,0.4245954,cape_or_cloak,0.5055082,none,0.9164387,average,0.40499827,"Ak-Haranu: Human, male, a cape"
61,Akkha's Phantom,Apparition,Male,,,,,,,,,,,,,,,melee_weapon,0.4777029,none,0.57945204,none,0.8642937,thin,0.53373605,"Akkha's Phantom: Apparition, male"
62,Akrisae,Human,,clean_shaven,0.482149,bald,0.45199472,none,0.38767362,glasses_or_goggles,0.5148834,not_visible,0.6362408,red,0.56019735,child,0.5971468,staff_wand,0.34493572,none,0.75505614,none,0.8784257,average,0.42643312,"Akrisae: Human, glasses"
63,Akthanakos,Mahjarrat,Male,goatee,0.47587562,bald,0.5364375,mask,0.26501277,glasses_or_goggles,0.64624965,not_visible,0.7215023,red,0.38180456,child,0.56105155,staff_wand,0.48367748,none,0.6827279,none,0.9349528,average,0.52053034,"Akthanakos: Mahjarrat, male, a goatee, a mask, glasses"
64,Al Kharid Camel,Camel,,goatee,0.4191838,red,0.31725457,helmet,0.25302547,glasses_or_goggles,0.58426285,not_visible,0.5518271,human_tone,0.4925262,young_adult,0.5215646,,,,,,,,,"Al Kharid Camel: Camel, a goatee, red hair, a helmet, glasses"
65,Al Shabim,Human,Male,beard,0.42586955,bald,0.81001925,helmet,0.46349275,glasses_or_goggles,0.71573806,not_visible,0.6338588,red,0.44871882,child,0.5906576,staff_wand,0.3444196,none,0.7877501,none,0.91522115,average,0.4641594,"Al Shabim: Human, male, a beard, a helmet, glasses"
66,Al the Camel,Camel,Male,beard,0.41142902,brown,0.43030643,helmet,0.28636765,glasses_or_goggles,0.63161516,not_visible,0.67078537,red,0.44184464,child,0.558276,bow,0.42772022,none,0.878266,none,0.90529925,heavy,0.54876363,"Al the Camel: Camel, male, a beard, brown hair, a helmet, glasses"
67,Alain,Human,Male,beard,0.66164553,bald,0.82125455,none,0.47031125,none,0.5553203,not_visible,0.6166911,red,0.52812356,child,0.533942,staff_wand,0.5610102,none,0.6672777,none,0.9439887,average,0.428558,"Alain: Human, male, a beard"
68,Alan,Human,Male,clean_shaven,0.76399416,bald,0.6018146,none,0.51158077,none,0.6257477,not_visible,0.6542428,human_tone,0.57324076,young_adult,0.6489175,melee_weapon,0.3433624,none,0.8755151,none,0.91355366,average,0.40772572,"Alan: Human, male"
69,Alan,Human,Male,goatee,0.6262693,brown,0.5879257,none,0.38602033,none,0.6385166,not_visible,0.51421165,red,0.4086389,young_adult,0.57432956,tool,0.7081372,none,0.9596442,none,0.9390729,heavy,0.475886,"Alan: Human, male, a goatee, brown hair"
70,Alan,Human,Male,beard,0.51288235,bald,0.48671257,none,0.5161661,none,0.56553864,not_visible,0.59746754,red,0.4950832,young_adult,0.5607508,tool,0.44605663,none,0.9529081,none,0.929414,average,0.37830633,"Alan: Human, male, a beard"
71,Alaxxi,Human,,clean_shaven,0.45568907,bald,0.72571546,none,0.5836626,glasses_or_goggles,0.90741384,not_visible,0.56001467,human_tone,0.57226187,child,0.57376915,tool,0.2982854,none,0.721595,none,0.8546772,heavy,0.42965192,"Alaxxi: Human, glasses"
72,Alba,Human,Female,clean_shaven,0.46053144,bald,0.5057133,none,0.36200836,glasses_or_goggles,0.5924326,not_visible,0.6693597,red,0.47802573,child,0.70359457,tool,0.334528,none,0.7856743,none,0.9005578,heavy,0.46498904,"Alba: Human, female, glasses"
73,Albatross,,,,,,,,,,,,,,,,,bow,0.3461815,cape_or_cloak,0.7730598,none,0.62666345,heavy,0.37724343,Albatross: a cape
74,Alchemy Guardian,Golem,,clean_shaven,0.40207827,bald,0.7765315,hat,0.38440242,glasses_or_goggles,0.81960475,not_visible,0.84431136,red,0.5385339,child,0.6808765,tool,0.39424974,none,0.7731568,none,0.80125844,thin,0.41708854,"Alchemy Guardian: Golem, a hat, glasses"
75,Alec Kincade,Human,Male,beard,0.53944266,bald,0.6345032,none,0.48324302,glasses_or_goggles,0.63343865,not_visible,0.6413979,human_tone,0.4391213,young_adult,0.43603596,tool,0.79290646,none,0.85535514,none,0.9216453,heavy,0.45688084,"Alec Kincade: Human, male, a beard, glasses"
76,Aleck,Human,Male,beard,0.85052794,brown,0.6753501,none,0.33262843,glasses_or_goggles,0.52062625,not_visible,0.7223725,human_tone,0.3261226,child,0.75066704,tool,0.3382834,none,0.9031735,none,0.8536022,average,0.38342124,"Aleck: Human, male, a beard, brown hair, glasses"
77,Alek Constantine,Vampyre,Male,clean_shaven,0.4888652,bald,0.81495494,none,0.6759829,none,0.58033115,not_visible,0.53060675,red,0.8136104,elderly,0.78891593,staff_wand,0.29058746,none,0.62129545,none,0.91872483,thin,0.44651663,"Alek Constantine: Vampyre, male"
78,Alexander,Human,Male,clean_shaven,0.548981,bald,0.44400275,hat,0.7594089,none,0.5142521,not_visible,0.71103674,red,0.57731235,child,0.5792305,tool,0.5112553,none,0.948277,none,0.93703496,heavy,0.48973516,"Alexander: Human, male, a hat"
79,Alexandra,Human,Female,clean_shaven,0.6624973,bald,0.4382185,hat,0.85238075,glasses_or_goggles,0.50396246,not_visible,0.64297664,red,0.7577285,child,0.76616365,tool,0.5303228,none,0.7911736,none,0.92095035,heavy,0.48868206,"Alexandra: Human, female, a hat, glasses"
80,Alfonse the waiter,Human,Male,mustache,0.37319508,bald,0.55742866,none,0.3883728,none,0.51543224,not_visible,0.6209265,red,0.6018822,young_adult,0.50370777,tool,0.25641468,none,0.8381068,none,0.9224058,thin,0.3911556,"Alfonse the waiter: Human, male, a mustache"
81,Ali Morrisane,Human,Male,beard,0.80342263,bald,0.6427542,none,0.8153482,none,0.60185134,not_visible,0.6235128,human_tone,0.48795232,elderly,0.9353618,staff_wand,0.41570494,none,0.62694,none,0.9026438,heavy,0.44511822,"Ali Morrisane: Human, male, a beard"
82,Ali the Barman,Human,Male,beard,0.5947402,bald,0.65357107,none,0.51530236,none,0.5075869,not_visible,0.65634346,human_tone,0.5686509,child,0.6019888,tool,0.36817607,none,0.9524076,none,0.92097384,heavy,0.41247565,"Ali the Barman: Human, male, a beard"
83,Ali the Camel,Camel,,goatee,0.40826544,red,0.38190362,crown,0.38817134,glasses_or_goggles,0.63229346,not_visible,0.47417873,brown_furry,0.38891163,young_adult,0.5487952,none,0.52159697,none,0.7966981,none,0.94347924,thin,0.78164035,"Ali the Camel: Camel, a goatee, red hair, a crown, glasses"
84,Ali the Camel Man,Human,Male,beard,0.45631737,bald,0.9208436,hood,0.39252332,glasses_or_goggles,0.69171906,not_visible,0.77649444,red,0.5486094,child,0.46973675,staff_wand,0.307103,none,0.7035801,none,0.875168,heavy,0.41454867,"Ali the Camel Man: Human, male, a beard, a hood, glasses"
85,Ali the Carter,Human,Male,beard,0.37993014,bald,0.70163476,none,0.6709365,none,0.5201507,not_visible,0.57776576,human_tone,0.62316626,elderly,0.9436654,melee_weapon,0.34322482,none,0.96733564,none,0.87779367,average,0.42939535,"Ali the Carter: Human, male, a beard"
86,Ali the dyer,Human,Female,clean_shaven,0.47630975,brown,0.35351107,helmet,0.5688226,glasses_or_goggles,0.73475116,not_visible,0.71178174,red,0.77807814,child,0.6924604,staff_wand,0.31621426,none,0.8884317,none,0.8632244,heavy,0.39126772,"Ali the dyer: Human, female, brown hair, a helmet, glasses"
87,Ali the Farmer,Human,Male,beard,0.4123613,bald,0.8137571,hat,0.593747,none,0.5788053,not_visible,0.5883796,human_tone,0.50186753,child,0.6331928,tool,0.7450865,none,0.9449026,none,0.9199852,heavy,0.47813877,"Ali the Farmer: Human, male, a beard, a hat"
88,Ali the Guard,Human,Male,beard,0.46504822,bald,0.73808455,none,0.7279867,glasses_or_goggles,0.5452824,not_visible,0.61370635,human_tone,0.49184734,elderly,0.9560554,tool,0.62720007,none,0.95341104,none,0.9106232,heavy,0.7262158,"Ali the Guard: Human, male, a beard, glasses"
89,Ali the Hag,Human,Female,beard,0.40971166,bald,0.30857852,hood,0.45287314,glasses_or_goggles,0.5371685,not_visible,0.54572135,red,0.42900038,child,0.6385346,staff_wand,0.60284084,cape_or_cloak,0.65020615,none,0.93100417,thin,0.55448735,"Ali the Hag: Human, female, a beard, a hood, glasses, a cape"
90,Ali the Kebab seller,Human,Male,beard,0.44837895,bald,0.83535725,helmet,0.50807905,glasses_or_goggles,0.7143094,not_visible,0.6534018,red,0.5442613,child,0.61547065,tool,0.36817607,none,0.9524076,none,0.92097384,heavy,0.41247565,"Ali the Kebab seller: Human, male, a beard, a helmet, glasses"
91,Ali the Leaflet Dropper,Human,Male,clean_shaven,0.5530539,bald,0.8114769,none,0.59927917,glasses_or_goggles,0.6564153,not_visible,0.6245586,human_tone,0.48419848,young_adult,0.5644934,tool,0.48040333,none,0.9618442,none,0.9557073,heavy,0.7026063,"Ali the Leaflet Dropper: Human, male, glasses"
92,Ali the Mayor,Human,Male,beard,0.4360651,bald,0.7961808,none,0.5159104,glasses_or_goggles,0.5734293,not_visible,0.6979175,human_tone,0.49112007,child,0.39619386,melee_weapon,0.2987798,none,0.9710377,none,0.8947255,average,0.41271797,"Ali the Mayor: Human, male, a beard, glasses"
93,Ali the Operator,Human,Male,clean_shaven,0.47463018,bald,0.44565046,helmet,0.3392342,glasses_or_goggles,0.6366007,not_visible,0.6568498,blue_purple,0.7666317,child,0.77131885,staff_wand,0.36262593,none,0.8407251,none,0.75439763,heavy,0.42394072,"Ali the Operator: Human, male, a helmet, glasses"
94,Ali the Sandsweeper,Human,Male,beard,0.37993014,bald,0.70163476,none,0.6709365,none,0.5201507,not_visible,0.57776576,human_tone,0.62316626,elderly,0.9436654,,,,,,,,,"Ali the Sandsweeper: Human, male, a beard"
95,Ali the Smith,Human,Male,beard,0.70023215,bald,0.5834183,none,0.8776606,none,0.6830806,not_visible,0.5977322,human_tone,0.5343438,elderly,0.9588646,tool,0.63912773,none,0.76941746,none,0.88263404,heavy,0.5076877,"Ali the Smith: Human, male, a beard"
96,Ali the Snake Charmer,Human,Male,beard,0.3785673,bald,0.76562864,none,0.67057335,none,0.5008712,not_visible,0.63282603,human_tone,0.46398893,elderly,0.839477,tool,0.79726666,none,0.95891255,none,0.914282,heavy,0.35273466,"Ali the Snake Charmer: Human, male, a beard"
97,Ali the Tailor,Human,Male,goatee,0.45629293,bald,0.79713196,helmet,0.65552497,glasses_or_goggles,0.7718747,not_visible,0.652807,red,0.6221325,child,0.58854556,tool,0.6069447,none,0.9287493,none,0.91257703,heavy,0.44552928,"Ali the Tailor: Human, male, a goatee, a helmet, glasses"
98,Ali the Tea Seller,Human,Male,goatee,0.64876884,red,0.35223928,none,0.36192235,none,0.6708189,not_visible,0.60131544,red,0.87250406,child,0.7985858,staff_wand,0.34501162,none,0.90433913,none,0.90646005,average,0.41825843,"Ali the Tea Seller: Human, male, a goatee, red hair"
99,Alice,Human,Female,clean_shaven,0.41093057,blonde,0.6327946,none,0.48941475,glasses_or_goggles,0.61760277,not_visible,0.7031294,red,0.8723757,child,0.73557436,staff_wand,0.45751968,none,0.75887024,none,0.9155408,average,0.44640657,"Alice: Human, female, blonde hair, glasses"
100,Alice the Camel,Camel,Female,mustache,0.33361495,bald,0.58144146,mask,0.28648344,glasses_or_goggles,0.71771616,not_visible,0.67552716,red,0.61533946,young_adult,0.5198624,bow,0.3125127,none,0.8553386,none,0.9302232,thin,0.6173608,"Alice the Camel: Camel, female, a mustache, a mask, glasses"
101,Alina,Human,Female,clean_shaven,0.38670188,bald,0.55515385,none,0.3926898,none,0.5687456,not_visible,0.65959984,red,0.59389883,child,0.68169934,tool,0.30222458,none,0.96500564,none,0.9430815,heavy,0.4462144,"Alina: Human, female"
102,Allanna,Human,Female,clean_shaven,0.6432632,bald,0.764104,none,0.8064689,none,0.60212374,not_visible,0.6189164,human_tone,0.4998515,young_adult,0.437073,tool,0.4141142,none,0.9148299,none,0.91952753,heavy,0.4917948,"Allanna: Human, female"
103,Almera,Human,Female,clean_shaven,0.61424595,bald,0.46948934,none,0.5377517,glasses_or_goggles,0.60137135,not_visible,0.6431066,red,0.51888824,child,0.5881982,tool,0.30863976,none,0.8612543,none,0.84680724,heavy,0.50712436,"Almera: Human, female, glasses"
