id_a,id_b,similarity,Name_a,Class_a,Location_a,Name_b,Class_b,Location_b
4147,4225,1.0000006,Uurrak quo Narga,Kahlith,Mount Karuulm,Vornas quo Maten,Kahlith,Mount Karuulm
4147,4226,1.0000006,Uurrak quo Narga,Kahlith,Mount Karuulm,Vortas quo Keran,Kahlith,Mount Karuulm
2588,4225,1.0000006,Marmor quo Narga,Kahlith,Mount Karuulm,Vornas quo Maten,Kahlith,Mount Karuulm
2588,4226,1.0000006,Marmor quo Narga,Kahlith,Mount Karuulm,Vortas quo Keran,Kahlith,Mount Karuulm
4225,4226,1.0000006,Vornas quo Maten,Kahlith,Mount Karuulm,Vortas quo Keran,Kahlith,Mount Karuulm
1471,1707,1.0000006,Fornek quo Maten,Kahlith,Mount Karuulm,Gorhak quo Narga,Kahlith,Mount Karuulm
85,94,1.0000006,Ali the Carter,Human,Nardah,Ali the Sandsweeper,Human,
1471,2588,1.0000006,Fornek quo Maten,Kahlith,Mount Karuulm,Marmor quo Narga,Kahlith,Mount Karuulm
1471,4147,1.0000006,Fornek quo Maten,Kahlith,Mount Karuulm,Uurrak quo Narga,Kahlith,Mount Karuulm
1471,2548,1.0000006,Fornek quo Maten,Kahlith,Mount Karuulm,Mallak quo Keran,Kahlith,Mount Karuulm
2461,4226,1.0000006,Lornor quo Narga,Kahlith,Mount Karuulm,Vortas quo Keran,Kahlith,Mount Karuulm
2461,2548,1.0000006,Lornor quo Narga,Kahlith,Mount Karuulm,Mallak quo Keran,Kahlith,Mount Karuulm
2375,4226,1.0000006,Leke quo Keran,Kahlith,Great Kourend,Vortas quo Keran,Kahlith,Mount Karuulm
2375,2461,1.0000006,Leke quo Keran,Kahlith,Great Kourend,Lornor quo Narga,Kahlith,Mount Karuulm
2375,4147,1.0000006,Leke quo Keran,Kahlith,Great Kourend,Uurrak quo Narga,Kahlith,Mount Karuulm
929,1864,1.0000006,Darcor quo Narga,Kahlith,Mount Karuulm,Haldor quo Keran,Kahlith,Mount Karuulm
929,1707,1.0000006,Darcor quo Narga,Kahlith,Mount Karuulm,Gorhak quo Narga,Kahlith,Mount Karuulm
929,1471,1.0000006,Darcor quo Narga,Kahlith,Mount Karuulm,Fornek quo Maten,Kahlith,Mount Karuulm
2375,2588,1.0000006,Leke quo Keran,Kahlith,Great Kourend,Marmor quo Narga,Kahlith,Mount Karuulm
2375,2548,1.0000006,Leke quo Keran,Kahlith,Great Kourend,Mallak quo Keran,Kahlith,Mount Karuulm
2375,4225,1.0000006,Leke quo Keran,Kahlith,Great Kourend,Vornas quo Maten,Kahlith,Mount Karuulm
1864,2461,1.0000006,Haldor quo Keran,Kahlith,Mount Karuulm,Lornor quo Narga,Kahlith,Mount Karuulm
1864,2375,1.0000006,Haldor quo Keran,Kahlith,Mount Karuulm,Leke quo Keran,Kahlith,Great Kourend
929,4226,1.0000006,Darcor quo Narga,Kahlith,Mount Karuulm,Vortas quo Keran,Kahlith,Mount Karuulm
1864,4226,1.0000006,Haldor quo Keran,Kahlith,Mount Karuulm,Vortas quo Keran,Kahlith,Mount Karuulm
1864,2548,1.0000006,Haldor quo Keran,Kahlith,Mount Karuulm,Mallak quo Keran,Kahlith,Mount Karuulm
1864,2588,1.0000006,Haldor quo Keran,Kahlith,Mount Karuulm,Marmor quo Narga,Kahlith,Mount Karuulm
1864,4147,1.0000006,Haldor quo Keran,Kahlith,Mount Karuulm,Uurrak quo Narga,Kahlith,Mount Karuulm
1864,4225,1.0000006,Haldor quo Keran,Kahlith,Mount Karuulm,Vornas quo Maten,Kahlith,Mount Karuulm
929,4225,1.0000006,Darcor quo Narga,Kahlith,Mount Karuulm,Vornas quo Maten,Kahlith,Mount Karuulm
1707,4225,1.0000006,Gorhak quo Narga,Kahlith,Mount Karuulm,Vornas quo Maten,Kahlith,Mount Karuulm
1707,4226,1.0000006,Gorhak quo Narga,Kahlith,Mount Karuulm,Vortas quo Keran,Kahlith,Mount Karuulm
929,2375,1.0000006,Darcor quo Narga,Kahlith,Mount Karuulm,Leke quo Keran,Kahlith,Great Kourend
929,2461,1.0000006,Darcor quo Narga,Kahlith,Mount Karuulm,Lornor quo Narga,Kahlith,Mount Karuulm
929,2548,1.0000006,Darcor quo Narga,Kahlith,Mount Karuulm,Mallak quo Keran,Kahlith,Mount Karuulm
929,2588,1.0000006,Darcor quo Narga,Kahlith,Mount Karuulm,Marmor quo Narga,Kahlith,Mount Karuulm
929,4147,1.0000006,Darcor quo Narga,Kahlith,Mount Karuulm,Uurrak quo Narga,Kahlith,Mount Karuulm
1471,2375,1.0000006,Fornek quo Maten,Kahlith,Mount Karuulm,Leke quo Keran,Kahlith,Great Kourend
1707,2548,1.0000006,Gorhak quo Narga,Kahlith,Mount Karuulm,Mallak quo Keran,Kahlith,Mount Karuulm
1707,2461,1.0000006,Gorhak quo Narga,Kahlith,Mount Karuulm,Lornor quo Narga,Kahlith,Mount Karuulm
1707,2375,1.0000006,Gorhak quo Narga,Kahlith,Mount Karuulm,Leke quo Keran,Kahlith,Great Kourend
1707,1864,1.0000006,Gorhak quo Narga,Kahlith,Mount Karuulm,Haldor quo Keran,Kahlith,Mount Karuulm
1471,2461,1.0000006,Fornek quo Maten,Kahlith,Mount Karuulm,Lornor quo Narga,Kahlith,Mount Karuulm
1471,1864,1.0000006,Fornek quo Maten,Kahlith,Mount Karuulm,Haldor quo Keran,Kahlith,Mount Karuulm
1707,4147,1.0000006,Gorhak quo Narga,Kahlith,Mount Karuulm,Uurrak quo Narga,Kahlith,Mount Karuulm
1707,2588,1.0000006,Gorhak quo Narga,Kahlith,Mount Karuulm,Marmor quo Narga,Kahlith,Mount Karuulm
1658,1673,1.0000006,Gnome,Gnome,Taverley,Gnome trainer,Gnome,Tree Gnome Stronghold
1471,4226,1.0000006,Fornek quo Maten,Kahlith,Mount Karuulm,Vortas quo Keran,Kahlith,Mount Karuulm
1471,4225,1.0000006,Fornek quo Maten,Kahlith,Mount Karuulm,Vornas quo Maten,Kahlith,Mount Karuulm
190,2076,1.0000005,Aretha,Citizen of Arceuus,Soul Altar,Istoria,Citizen of Arceuus,Library Historical Archive
2940,3301,1.0000005,Ordan,Dwarf,Keldagrim,Richard Flintmaul,Dwarf,
190,4205,1.0000005,Aretha,Citizen of Arceuus,Soul Altar,Villia,Citizen of Arceuus,Arceuus Library
190,2405,1.0000005,Aretha,Citizen of Arceuus,Soul Altar,Lillia,Citizen of Arceuus,Catacombs of Kourend
2405,4205,1.0000005,Lillia,Citizen of Arceuus,Catacombs of Kourend,Villia,Citizen of Arceuus,Arceuus Library
2076,2405,1.0000005,Istoria,Citizen of Arceuus,Library Historical Archive,Lillia,Citizen of Arceuus,Catacombs of Kourend
2044,4238,1.0000005,Immenizz,Impling,Puro-Puro,Wandering impling,Impling,Wheat field in Zanaris
2076,4205,1.0000005,Istoria,Citizen of Arceuus,Library Historical Archive,Villia,Citizen of Arceuus,Arceuus Library
297,1710,1.0000005,Banker,Dorgeshuun,Dorgesh-Kaan,Gourmet,Dorgeshuun,Dorgesh-Kaan
2294,3889,1.0000005,Kormar quo Maten,Kahlith,Karuulm Slayer Dungeon,Tarfol quo Maten,Kahlith,Karuulm Slayer Dungeon
297,1694,1.0000005,Banker,Dorgeshuun,Dorgesh-Kaan,Goblin scribe,Dorgeshuun,Dorgesh-Kaan
348,3770,1.0000005,Bartak,Dorgeshuun,Dorgesh-Kaan,Spit goblin,Dorgeshuun,Southern Dorgesh-Kaan
3437,3438,1.0000005,Sassilik,Human,Rellekka,Sassilik,Human,Jatizso
1694,1710,1.0000005,Goblin scribe,Dorgeshuun,Dorgesh-Kaan,Gourmet,Dorgeshuun,Dorgesh-Kaan
1546,2294,1.0000005,Garbek quo Maten,Kahlith,Karuulm Slayer Dungeon,Kormar quo Maten,Kahlith,Karuulm Slayer Dungeon
1546,3889,1.0000005,Garbek quo Maten,Kahlith,Karuulm Slayer Dungeon,Tarfol quo Maten,Kahlith,Karuulm Slayer Dungeon
1115,3301,1.0000005,Dwarven Ferryman,Dwarf,Keldagrim,Richard Flintmaul,Dwarf,
1115,2940,1.0000005,Dwarven Ferryman,Dwarf,Keldagrim,Ordan,Dwarf,Keldagrim
1111,3843,1.0000005,Dwarf,Dwarf,Dorgesh-Kaan–Keldagrim train system,Sune,Dwarf,Keldagrim
2815,2816,1.0000005,Ned,Human,Draynor Village,Ned,Human,"Lady Lumbridge , Crandor"
4228,4231,1.0000004,Vulcan Orvoros,Vampyre,Ver Sinhaza,Vyrelord,Vampyre,Ver Sinhaza
2743,4231,1.0000004,Mort Nightshade,Vampyre,North Darkmeyer,Vyrelord,Vampyre,Ver Sinhaza
2743,4228,1.0000004,Mort Nightshade,Vampyre,North Darkmeyer,Vulcan Orvoros,Vampyre,Ver Sinhaza
4336,4341,1.0000004,Worker,Dwarf ( Imcando-descendant ),Cam Torum,Worker,Dwarf ( Imcando-descendant ),Stonecutter Outpost
4336,4343,1.0000004,Worker,Dwarf ( Imcando-descendant ),Cam Torum,Worker,Dwarf ( Imcando-descendant ),"The Windbreaker , Quetzacalli Gorge"
4155,4231,1.0000004,Valentin Rasputin,Vampyre,North Darkmeyer,Vyrelord,Vampyre,Ver Sinhaza
4155,4228,1.0000004,Valentin Rasputin,Vampyre,North Darkmeyer,Vulcan Orvoros,Vampyre,Ver Sinhaza
2591,3987,1.0000004,Martha Rehnison,Human,West Ardougne,Tina,Human,Falador
2591,3786,1.0000004,Martha Rehnison,Human,West Ardougne,Squire,Human,Void Knight Outpost
2591,3522,1.0000004,Martha Rehnison,Human,West Ardougne,Shayda,Human,Shayzien
1071,3415,1.0000004,Druid,Human,,Sanfew,Human,Taverley
4341,4343,1.0000004,Worker,Dwarf ( Imcando-descendant ),Stonecutter Outpost,Worker,Dwarf ( Imcando-descendant ),"The Windbreaker , Quetzacalli Gorge"
2446,4224,1.0000004,Lord Alexei Jovkai,Vampyre,South-west Darkmeyer,Vormar Vakan,Vampyre,North-west Darkmeyer
2446,4213,1.0000004,Lord Alexei Jovkai,Vampyre,South-west Darkmeyer,Vlad Diaemus,Vampyre,North-west Darkmeyer
657,4231,1.0000004,Carnivus Belamorta,Vampyre,North-west Darkmeyer,Vyrelord,Vampyre,Ver Sinhaza
657,4228,1.0000004,Carnivus Belamorta,Vampyre,North-west Darkmeyer,Vulcan Orvoros,Vampyre,Ver Sinhaza
657,4155,1.0000004,Carnivus Belamorta,Vampyre,North-west Darkmeyer,Valentin Rasputin,Vampyre,North Darkmeyer
657,3751,1.0000004,Carnivus Belamorta,Vampyre,North-west Darkmeyer,Spectator,Vampyre,West Darkmeyer
657,2743,1.0000004,Carnivus Belamorta,Vampyre,North-west Darkmeyer,Mort Nightshade,Vampyre,North Darkmeyer
2446,4166,1.0000004,Lord Alexei Jovkai,Vampyre,South-west Darkmeyer,Vampyrus Diaemus,Vampyre,North Darkmeyer
2316,3987,1.0000004,Lady Servil,Human,Fight Arena,Tina,Human,Falador
2316,3786,1.0000004,Lady Servil,Human,Fight Arena,Squire,Human,Void Knight Outpost
2316,3522,1.0000004,Lady Servil,Human,Fight Arena,Shayda,Human,Shayzien
2316,2591,1.0000004,Lady Servil,Human,Fight Arena,Martha Rehnison,Human,West Ardougne
3786,3987,1.0000004,Squire,Human,Void Knight Outpost,Tina,Human,Falador
3751,4231,1.0000004,Spectator,Vampyre,West Darkmeyer,Vyrelord,Vampyre,Ver Sinhaza
3751,4228,1.0000004,Spectator,Vampyre,West Darkmeyer,Vulcan Orvoros,Vampyre,Ver Sinhaza
3751,4155,1.0000004,Spectator,Vampyre,West Darkmeyer,Valentin Rasputin,Vampyre,North Darkmeyer
1071,3908,1.0000004,Druid,Human,,Tegid,Human,Taverley
1071,3479,1.0000004,Druid,Human,,Seer,Human,Seers' Village
2222,3987,1.0000004,Kaylee,Human,Falador,Tina,Human,Falador
2222,3786,1.0000004,Kaylee,Human,Falador,Squire,Human,Void Knight Outpost
2222,3522,1.0000004,Kaylee,Human,Falador,Shayda,Human,Shayzien
904,3987,1.0000004,Customer,Human,Keldagrim Library,Tina,Human,Falador
904,3786,1.0000004,Customer,Human,Keldagrim Library,Squire,Human,Void Knight Outpost
904,3522,1.0000004,Customer,Human,Keldagrim Library,Shayda,Human,Shayzien
904,2591,1.0000004,Customer,Human,Keldagrim Library,Martha Rehnison,Human,West Ardougne
904,2316,1.0000004,Customer,Human,Keldagrim Library,Lady Servil,Human,Fight Arena
904,2222,1.0000004,Customer,Human,Keldagrim Library,Kaylee,Human,Falador
2222,2591,1.0000004,Kaylee,Human,Falador,Martha Rehnison,Human,West Ardougne
2222,2316,1.0000004,Kaylee,Human,Falador,Lady Servil,Human,Fight Arena
350,353,1.0000004,Bartender,Human,Blue Moon Inn,Bartender,Human,Varrock
1856,4224,1.0000004,Haemas Lamescus,Vampyre,West Darkmeyer,Vormar Vakan,Vampyre,North-west Darkmeyer
1856,4213,1.0000004,Haemas Lamescus,Vampyre,West Darkmeyer,Vlad Diaemus,Vampyre,North-west Darkmeyer
1856,4166,1.0000004,Haemas Lamescus,Vampyre,West Darkmeyer,Vampyrus Diaemus,Vampyre,North Darkmeyer
1856,2446,1.0000004,Haemas Lamescus,Vampyre,West Darkmeyer,Lord Alexei Jovkai,Vampyre,South-west Darkmeyer
609,638,1.0000004,Captain Barnaby,Human,"East Ardougne docks, Brimhaven , Rimmington",Captain Reuben,Human,Varies
77,4231,1.0000004,Alek Constantine,Vampyre,West Darkmeyer,Vyrelord,Vampyre,Ver Sinhaza
77,4228,1.0000004,Alek Constantine,Vampyre,West Darkmeyer,Vulcan Orvoros,Vampyre,Ver Sinhaza
77,4155,1.0000004,Alek Constantine,Vampyre,West Darkmeyer,Valentin Rasputin,Vampyre,North Darkmeyer
77,3751,1.0000004,Alek Constantine,Vampyre,West Darkmeyer,Spectator,Vampyre,West Darkmeyer
77,2743,1.0000004,Alek Constantine,Vampyre,West Darkmeyer,Mort Nightshade,Vampyre,North Darkmeyer
77,657,1.0000004,Alek Constantine,Vampyre,West Darkmeyer,Carnivus Belamorta,Vampyre,North-west Darkmeyer
982,4224,1.0000004,Desmodus Lasiurus,Vampyre,West Darkmeyer,Vormar Vakan,Vampyre,North-west Darkmeyer
982,4213,1.0000004,Desmodus Lasiurus,Vampyre,West Darkmeyer,Vlad Diaemus,Vampyre,North-west Darkmeyer
510,3896,1.0000004,Branwen,Elf,Prifddinas,Tatie,Elf,Prifddinas
982,4166,1.0000004,Desmodus Lasiurus,Vampyre,West Darkmeyer,Vampyrus Diaemus,Vampyre,North Darkmeyer
982,2446,1.0000004,Desmodus Lasiurus,Vampyre,West Darkmeyer,Lord Alexei Jovkai,Vampyre,South-west Darkmeyer
982,1856,1.0000004,Desmodus Lasiurus,Vampyre,West Darkmeyer,Haemas Lamescus,Vampyre,West Darkmeyer
982,1047,1.0000004,Desmodus Lasiurus,Vampyre,West Darkmeyer,Draconis Sanguine,Vampyre,North Darkmeyer
1682,1693,1.0000004,Goblin,Goblin,Falador,Goblin Recruiter,Goblin,Falador
1681,1693,1.0000004,Goblin,Goblin,Falador,Goblin Recruiter,Goblin,Falador
1681,1682,1.0000004,Goblin,Goblin,Falador,Goblin,Goblin,Falador
3415,3908,1.0000004,Sanfew,Human,Taverley,Tegid,Human,Taverley
3415,3479,1.0000004,Sanfew,Human,Taverley,Seer,Human,Seers' Village
1663,1889,1.0000004,Gnome child,Gnome,Catherby beach,Happy gnome child,Gnome,East Varrock
1661,1676,1.0000004,Gnome baller,Gnome,Tree Gnome Stronghold,Gnome winger,Gnome,Gnome Ball pitch
3479,3908,1.0000004,Seer,Human,Seers' Village,Tegid,Human,Taverley
429,3177,1.0000004,Billy Rehnison,Human,West Ardougne,Quartermaster,Human,Tyras Camp
3522,3987,1.0000004,Shayda,Human,Shayzien,Tina,Human,Falador
3522,3786,1.0000004,Shayda,Human,Shayzien,Squire,Human,Void Knight Outpost
1514,1889,1.0000004,Froono,Gnome,Tree Gnome Stronghold,Happy gnome child,Gnome,East Varrock
1514,1663,1.0000004,Froono,Gnome,Tree Gnome Stronghold,Gnome child,Gnome,Catherby beach
1047,4224,1.0000004,Draconis Sanguine,Vampyre,North Darkmeyer,Vormar Vakan,Vampyre,North-west Darkmeyer
1047,4213,1.0000004,Draconis Sanguine,Vampyre,North Darkmeyer,Vlad Diaemus,Vampyre,North-west Darkmeyer
1047,4166,1.0000004,Draconis Sanguine,Vampyre,North Darkmeyer,Vampyrus Diaemus,Vampyre,North Darkmeyer
1047,2446,1.0000004,Draconis Sanguine,Vampyre,North Darkmeyer,Lord Alexei Jovkai,Vampyre,South-west Darkmeyer
1047,1856,1.0000004,Draconis Sanguine,Vampyre,North Darkmeyer,Haemas Lamescus,Vampyre,West Darkmeyer
2743,4155,1.0000004,Mort Nightshade,Vampyre,North Darkmeyer,Valentin Rasputin,Vampyre,North Darkmeyer
2743,3751,1.0000004,Mort Nightshade,Vampyre,North Darkmeyer,Spectator,Vampyre,West Darkmeyer
4213,4224,1.0000004,Vlad Diaemus,Vampyre,North-west Darkmeyer,Vormar Vakan,Vampyre,North-west Darkmeyer
4166,4224,1.0000004,Vampyrus Diaemus,Vampyre,North Darkmeyer,Vormar Vakan,Vampyre,North-west Darkmeyer
4166,4213,1.0000004,Vampyrus Diaemus,Vampyre,North Darkmeyer,Vlad Diaemus,Vampyre,North-west Darkmeyer
4414,4415,1.0000002,Zeke,Human,Al Kharid,Zeke,Human,Lumbridge Castle ground floor [ UK ] 1 st floor [ US ]
4161,4162,1.0000002,Vampyre Juvinate,Vampyre,Daeyalt essence mine,Vampyre Juvinate,Vampyre,Meiyerditch mine
4203,4237,1.0000002,Villa Guard,Human,Villa Lucens,Wandering Guard,Human,Aldarin
36,607,1.0000002,Adventurer Ada,Human,The Pandemonium,Captain Ada,Human,? (edit)
40,984,1.0000002,Aemad,Human,East Ardougne,Devan Rutter,Human,The Warrens
40,3449,1.0000002,Aemad,Human,East Ardougne,Scavvo,Human,Champions' Guild
718,1965,1.0000002,Charles Charlington,Human,Fossil Island,Historian Minas,Human,Varrock Museum
718,2151,1.0000002,Charles Charlington,Human,Fossil Island,John,Human,Museum Camp
718,2811,1.0000002,Charles Charlington,Human,Fossil Island,Natural historian,Human,Varrock Museum
2844,3058,1.0000002,The Nightmare,Unknown,Sisterhood Sanctuary,Phosani's Nightmare,Unknown,Sisterhood Sanctuary
2826,3021,1.0000002,Nesty,Human,Woodcutting Guild,Perry,Human,Woodcutting Guild
2812,3041,1.0000002,Natural Historian,Human,Mount Quidamortem,Petrified Pete,Human,Fossil Island
2811,3041,1.0000002,Natural historian,Human,Varrock Museum,Petrified Pete,Human,Fossil Island
2811,2812,1.0000002,Natural historian,Human,Varrock Museum,Natural Historian,Human,Mount Quidamortem
3900,4418,1.0000002,Tayten,Human,Mansion in a faraway island.,Zenesha,Human,East Ardougne
3900,4329,1.0000002,Tayten,Human,Mansion in a faraway island.,Woman,Human,Dorgeshuun Mines
3878,3974,1.0000002,Tamayu,Human,Tai Bwo Wannai village,Tiadeche,Human,Tai Bwo Wannai village
995,2624,1.0000002,Diol,Elf,Prifddinas,Meddwl Ymlaen Llaw,Elf,North of Prifddinas
995,2403,1.0000002,Diol,Elf,Prifddinas,Lilifang,Elf,Grand Library
995,1382,1.0000002,Diol,Elf,Prifddinas,Findis,Elf,Prifddinas
984,3449,1.0000002,Devan Rutter,Human,The Warrens,Scavvo,Human,Champions' Guild
1447,3981,1.0000002,Flippa,Troll,Pinball random event,Tilt,Troll,Pinball random event
1407,1442,1.0000002,Fish monger,Human,Rellekka,Fishmonger,Human,Miscellania
1382,2624,1.0000002,Findis,Elf,Prifddinas,Meddwl Ymlaen Llaw,Elf,North of Prifddinas
2723,2724,1.0000002,Monkey,Monkey,Ardougne Zoo,Monkey,Monkey,Trouble Brewing
2704,2705,1.0000002,Mofina,Citizen of Arceuus,Arceuus church,Mofina,Citizen of Arceuus,Lumbridge Castle
1351,2326,1.0000002,Felfiz Yaryus,Gnome,Farming Guild,Lammy Langle,Gnome,Hosidius
1351,1504,1.0000002,Felfiz Yaryus,Gnome,Farming Guild,Frizzy Skernip,Gnome,Port Sarim
3651,3652,1.0000002,Sister Naoj,Human,Sisterhood Sanctuary,Sister Salohcin,Human,Sisterhood Sanctuary
3650,3652,1.0000002,Sister Aseret,Human,Sisterhood Sanctuary,Sister Salohcin,Human,Sisterhood Sanctuary
3650,3651,1.0000002,Sister Aseret,Human,Sisterhood Sanctuary,Sister Naoj,Human,Sisterhood Sanctuary
1525,1592,1.0000002,Fur trader,Human,East Ardougne,Gerald,Human,South of Baxtorian Falls
1504,3142,1.0000002,Frizzy Skernip,Gnome,Port Sarim,Prissy Scilla,Gnome,Tree Gnome Stronghold
1504,3118,1.0000002,Frizzy Skernip,Gnome,Port Sarim,Praistan Ebola,Gnome,Brimhaven
1504,2345,1.0000002,Frizzy Skernip,Gnome,Port Sarim,Latlink Fastbell,Gnome,Farming Guild
1504,2326,1.0000002,Frizzy Skernip,Gnome,Port Sarim,Lammy Langle,Gnome,Hosidius
456,1756,1.0000002,Bloodhound,Dog,Master Treasure Trails,Gruff McScruff,Dog,Hosidius
2541,2654,1.0000002,Malcolm,Ghost,Farm west of Port Phasmatys,Metarialus,Ghost,Port Phasmatys
2537,3495,1.0000002,Major Heal,Human,Barbarian Assault tutorial,Sergeant Sambur,Human,Barbarian Assault Waiting Rooms
2537,3143,1.0000002,Major Heal,Human,Barbarian Assault tutorial,Private Paldo,Human,Main room of the Barbarian Assault basement
2534,3495,1.0000002,Major Attack,Human,Barbarian Assault tutorial,Sergeant Sambur,Human,Barbarian Assault Waiting Rooms
2534,3143,1.0000002,Major Attack,Human,Barbarian Assault tutorial,Private Paldo,Human,Main room of the Barbarian Assault basement
2534,2537,1.0000002,Major Attack,Human,Barbarian Assault tutorial,Major Heal,Human,Barbarian Assault tutorial
1566,1576,1.0000002,Gee,Human,Lumbridge,General Babacus,Human,Shayzien
1525,3906,1.0000002,Fur trader,Human,East Ardougne,Ted Rehnison,Human,West Ardougne
1525,3595,1.0000002,Fur trader,Human,East Ardougne,Siegfried Erkle,Human,2 nd floor [ UK ] 3 rd floor [ US ] of Legends' Guild (west side)
1525,1966,1.0000002,Fur trader,Human,East Ardougne,Hiylik Myna,Human,Paterdomus
1382,2403,1.0000002,Findis,Elf,Prifddinas,Lilifang,Elf,Grand Library
3595,3906,1.0000002,Siegfried Erkle,Human,2 nd floor [ UK ] 3 rd floor [ US ] of Legends' Guild (west side),Ted Rehnison,Human,West Ardougne
1351,4396,1.0000002,Felfiz Yaryus,Gnome,Farming Guild,Yulf Squecks,Gnome,Etceteria
1351,3142,1.0000002,Felfiz Yaryus,Gnome,Farming Guild,Prissy Scilla,Gnome,Tree Gnome Stronghold
1351,2345,1.0000002,Felfiz Yaryus,Gnome,Farming Guild,Latlink Fastbell,Gnome,Farming Guild
483,1504,1.0000002,Bolongo,Gnome,Tree Gnome Stronghold,Frizzy Skernip,Gnome,Port Sarim
483,1351,1.0000002,Bolongo,Gnome,Tree Gnome Stronghold,Felfiz Yaryus,Gnome,Farming Guild
2529,3603,1.0000002,Magnus Gram,Human,Jatizso,Sigmund The Merchant,Human,Rellekka market
2455,4212,1.0000002,Lord Mischa Myrmel,Vampyre,South-west Darkmeyer,Vlad Bechstein,Vampyre,North-east Darkmeyer
2455,2692,1.0000002,Lord Mischa Myrmel,Vampyre,South-west Darkmeyer,Misdrievus Shadum,Vampyre,West Darkmeyer
834,2624,1.0000002,Conwenna,Elf,Prifddinas,Meddwl Ymlaen Llaw,Elf,North of Prifddinas
834,2403,1.0000002,Conwenna,Elf,Prifddinas,Lilifang,Elf,Grand Library
834,1382,1.0000002,Conwenna,Elf,Prifddinas,Findis,Elf,Prifddinas
834,995,1.0000002,Conwenna,Elf,Prifddinas,Diol,Elf,Prifddinas
4107,4108,1.0000002,TzHaar-Mej-Bal,TzHaar,Mor Ul Rek,TzHaar-Mej-Dir,TzHaar,Mor Ul Rek
4106,4110,1.0000002,TzHaar-Mej,TzHaar,Mor Ul Rek,TzHaar-Mej-Kah,TzHaar,Mor Ul Rek
4104,4105,1.0000002,TzHaar-Ket-Yil,TzHaar,Mor Ul Rek,TzHaar-Ket-Zuh,TzHaar,Mor Ul Rek
828,3219,1.0000002,Competition Judge,Human,Ranging Guild,Ranging Guild Doorman,Human,Ranging Guild
1626,2654,1.0000002,Ghost villager,Ghost,Port Phasmatys,Metarialus,Ghost,Port Phasmatys
1625,2654,1.0000002,Ghost shopkeeper,Ghost,Port Phasmatys,Metarialus,Ghost,Port Phasmatys
1624,2654,1.0000002,Ghost sailor,Ghost,Port Phasmatys,Metarialus,Ghost,Port Phasmatys
1623,2654,1.0000002,Ghost innkeeper,Ghost,Port Phasmatys,Metarialus,Ghost,Port Phasmatys
1616,2654,1.0000002,Ghost banker,Ghost,Port Phasmatys Bank,Metarialus,Ghost,Port Phasmatys
3447,3661,1.0000002,Scared skavid,Skavid,Skavid caves,Skavid,Skavid,Skavid caves
1592,3906,1.0000002,Gerald,Human,South of Baxtorian Falls,Ted Rehnison,Human,West Ardougne
1592,3595,1.0000002,Gerald,Human,South of Baxtorian Falls,Siegfried Erkle,Human,2 nd floor [ UK ] 3 rd floor [ US ] of Legends' Guild (west side)
1592,1966,1.0000002,Gerald,Human,South of Baxtorian Falls,Hiylik Myna,Human,Paterdomus
1578,2865,1.0000002,General Hining,Human,Tyras Camp,Norman,Human,Falador
1576,1855,1.0000002,General Babacus,Human,Shayzien,Hadley,Human,Tourist Information Centre
1576,1705,1.0000002,General Babacus,Human,Shayzien,Gordon,Human,Farm south of Farming Guild
1566,1855,1.0000002,Gee,Human,Lumbridge,Hadley,Human,Tourist Information Centre
